layer,c=0.0,c=0.01,c=0.05,c=0.1,c=0.5,c=1.0,c=2.0,c=5.0,c=10.0,c=20.0,c=50.0,c=100.0,c=200.0,c=500.0
L0,0.035161,0.035162,0.035168,0.035177,0.035247,0.035338,0.035525,0.036104,0.037099,0.039143,0.045477,0.056355,0.078701,0.147943
L1,0.028388,0.028388,0.028386,0.028383,0.028365,0.028342,0.028296,0.028163,0.027954,0.027580,0.026742,0.025962,0.025416,0.025260
L2,0.030071,0.030070,0.030069,0.030067,0.030053,0.030035,0.030001,0.029899,0.029733,0.029404,0.028436,0.026846,0.023713,0.014472
