layer,c=0.0,c=0.01,c=0.05,c=0.1,c=0.5,c=1.0,c=2.0,c=5.0,c=10.0,c=20.0,c=50.0,c=100.0,c=200.0,c=500.0
L0,0.038754,0.038756,0.038766,0.038779,0.038878,0.039001,0.039244,0.039952,0.041062,0.043046,0.047475,0.051564,0.054379,0.055163
L1,0.022350,0.022350,0.022348,0.022347,0.022333,0.022316,0.022283,0.022184,0.022025,0.021724,0.020952,0.020006,0.018934,0.018117
L2,0.020537,0.020537,0.020536,0.020535,0.020526,0.020515,0.020493,0.020428,0.020322,0.020121,0.019588,0.018900,0.018039,0.017221
