kappa,layer,c,distortion
5.0,L1,0.5,3.139001947261022e-08
5.0,L1,1.0,8.480260760279634e-08
5.0,L1,2.0,3.956228056267719e-07
5.0,L1,5.0,2.984325192301185e-06
5.0,L1,10.0,1.2990458344575018e-05
5.0,L2,0.0,0.0
5.0,L2,0.01,1.3494349637710457e-08
5.0,L2,0.05,1.2299025797801733e-08
5.0,L2,0.1,1.1013052692021574e-08
5.0,L2,0.5,9.327658645474912e-09
5.0,L2,1.0,2.8692522135997933e-08
5.0,L2,2.0,1.393614184053149e-07
5.0,L2,5.0,1.053330379363615e-06
5.0,L2,10.0,4.559989520203089e-06
10.0,L0,0.0,0.0
10.0,L0,0.01,5.872602741874289e-07
10.0,L0,0.05,5.121669914842641e-07
10.0,L0,0.1,4.5145239369048795e-07
10.0,L0,0.5,1.3087312709103571e-06
10.0,L0,1.0,5.81315816816641e-06
10.0,L0,2.0,2.679205863387324e-05
10.0,L0,5.0,0.00019651038746815175
10.0,L0,10.0,0.0009252488380298018
10.0,L1,0.0,0.0
10.0,L1,0.01,3.9698203835314416e-08
10.0,L1,0.05,3.586771057939586e-08
10.0,L1,0.1,3.1746434814294844e-08
10.0,L1,0.5,2.532519260967092e-08
10.0,L1,1.0,8.379917915135593e-08
10.0,L1,2.0,4.243104001488973e-07
10.0,L1,5.0,3.267005467932904e-06
10.0,L1,10.0,1.4305713193607517e-05
10.0,L2,0.0,0.0
10.0,L2,0.01,9.480627838343025e-09
10.0,L2,0.05,8.690418162871083e-09
10.0,L2,0.1,7.842641203126277e-09
10.0,L2,0.5,6.449873080072166e-09
10.0,L2,1.0,1.8153874847826046e-08
10.0,L2,2.0,8.662182438001764e-08
10.0,L2,5.0,6.551367732754443e-07
10.0,L2,10.0,2.8340368771750946e-06
20.0,L0,0.0,0.0
20.0,L0,0.01,2.9536886358982883e-07
20.0,L0,0.05,2.621007411107712e-07
20.0,L0,0.1,2.319134750905505e-07
20.0,L0,0.5,4.517534648584842e-07
20.0,L0,1.0,1.8941890402857098e-06
20.0,L0,2.0,8.774954039836302e-06
20.0,L0,5.0,6.345412839436904e-05
20.0,L0,10.0,0.00028345102327875793
20.0,L1,0.0,0.0
20.0,L1,0.01,2.4324592118318833e-08
20.0,L1,0.05,2.252084740916871e-08
20.0,L1,0.1,2.0541889966807503e-08
20.0,L1,0.5,1.736711219280096e-08
20.0,L1,1.0,4.5067981346846864e-08
20.0,L1,2.0,2.065161481823452e-07
20.0,L1,5.0,1.5491774547626846e-06
20.0,L1,10.0,6.713089533150196e-06
20.0,L2,0.0,0.0
20.0,L2,0.01,7.411587343852943e-09
20.0,L2,0.05,6.8203460656945936e-09
20.0,L2,0.1,6.179883271784092e-09
20.0,L2,0.5,5.186844287408121e-09
20.0,L2,1.0,1.432925156308329e-08
20.0,L2,2.0,6.740230418245119e-08
20.0,L2,5.0,5.070268684903567e-07
20.0,L2,10.0,2.1889240997552406e-06
