bucket_name,bucket_value,n,R@5,R@10,R@20,NDCG@5,NDCG@10,NDCG@20,hit_rate_top20
history_length,1-5,12556,0.0912,0.1136,0.1417,0.0783,0.0855,0.0926,0.1417
history_length,11-15,2003,0.0509,0.0629,0.0754,0.0449,0.0487,0.0519,0.0754
history_length,16-20,791,0.0316,0.0455,0.0594,0.0261,0.0305,0.0338,0.0594
history_length,6-10,8652,0.0724,0.0904,0.1111,0.0617,0.0675,0.0727,0.1111
history_length,nan,770,0.0312,0.0468,0.0636,0.0261,0.0311,0.0354,0.0636
L3_PAD,PAD=0,24717,0.0770,0.0966,0.1199,0.0660,0.0722,0.0781,0.1199
L3_PAD,non-PAD,55,0.3273,0.3273,0.4182,0.3206,0.3206,0.3431,0.4182
L0_freq_quantile,[0,100),24028,0.0748,0.0918,0.1136,0.0648,0.0703,0.0757,0.1136
L0_freq_quantile,[100,200),640,0.1953,0.3078,0.3953,0.1411,0.1774,0.1997,0.3953
L0_freq_quantile,[200,1000),104,0.0000,0.0385,0.0481,0.0000,0.0115,0.0138,0.0481
L2_uniqueness,[0.10,0.20),5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
L2_uniqueness,[0.20,1.0],24767,0.0776,0.0971,0.1206,0.0666,0.0728,0.0787,0.1206
item_popularity,[0,10),24772,0.0776,0.0971,0.1206,0.0665,0.0728,0.0787,0.1206
