config,layer,best_model,r2,inflection_c_right,inflection_type,best_c_right,best_distortion_right,best_c_left,best_distortion_left
equal64,L0,M2_exp,1.0000,None (monotone),monotone,0.0,0.042840,0.0,0.042840
equal64,L1,M2_exp,1.0000,None (monotone),monotone,500.0,0.039840,-10.0,0.044488
equal64,L2,M2_exp,1.0000,None (monotone),monotone,500.0,0.046891,-10.0,0.049560
