config,layer,best_model,r2,inflection_c_right,inflection_type,best_c_right,best_distortion_right,best_c_left,best_distortion_left
equal256,L0,M2_exp,1.0000,None (monotone),monotone,0.0,0.038754,0.0,0.038754
equal256,L1,M2_exp,1.0000,None (monotone),monotone,500.0,0.018117,-10.0,0.022025
equal256,L2,M2_exp,1.0000,None (monotone),monotone,500.0,0.017221,-10.0,0.020322
