metric,A_shared,B_codeword,B_minus_A
R@5,0.07713963963724241,0.07955276685259863,0.00241312721535622
R@10,0.09684684705420696,0.09901866147071699,0.002171814416510029
R@20,0.12142052790545589,0.12415540569307261,0.0027348777876167185
NDCG@5,0.06594211929999148,0.06691544902111803,0.0009733297211265424
NDCG@10,0.07223588763646292,0.07317172421653068,0.0009358365800677532
NDCG@20,0.07845366746906378,0.07951162699394244,0.0010579595248786655
