metric,L0,L1,L2
mean,0.14562572538852692,0.07303975522518158,0.056420549750328064
std,0.030359067022800446,0.011159028857946396,0.006903185974806547
q05,0.09876736998558044,0.05790296569466591,0.04724591225385666
q25,0.12496023625135422,0.064923495054245,0.05190153419971466
q50,0.14529503881931305,0.07209524512290955,0.05527696758508682
q75,0.16396504640579224,0.0812089592218399,0.060559164732694626
q95,0.19138652086257935,0.09184049069881439,0.06924610584974289
min,0.057977065443992615,0.011023440398275852,0.02731093019247055
max,0.3028828799724579,0.10638658702373505,0.07732028514146805
