metric,L0,L1,L2
nn_mean,0.10154488682746887,0.07025502622127533,0.057039037346839905
nn_median,0.09944810718297958,0.07068449258804321,0.05652078613638878
nn_std,0.01794975996017456,0.008705157786607742,0.0048150960355997086
nn_q05,0.07767535746097565,0.056654851883649826,0.049679823219776154
nn_q95,0.13494639098644257,0.08390213549137115,0.06599273532629013
second_nn_mean,0.1102905124425888,0.07351995259523392,0.059348851442337036
second_nn_median,0.10895595699548721,0.07337366044521332,0.05854526907205582
margin_mean,1.0939843654632568,1.0489822626113892,1.0419683456420898
margin_median,1.056100845336914,1.0352263450622559,1.0293684005737305
margin_std,0.11342564225196838,0.045532576739788055,0.042514994740486145
local_density_5_mean,8.892765045166016,13.515953063964844,16.74025535583496
local_density_10_mean,8.252020835876465,13.024166107177734,16.258846282958984
