metric,L0,L1,L2
top1_explained_var,0.1751585304737091,0.07199367135763168,0.05581085383892059
top5_cumulative_var,0.5270235538482666,0.30227500200271606,0.25061312317848206
top10_cumulative_var,0.743671715259552,0.5365304946899414,0.4699622392654419
effective_rank,17.606700897216797,24.311260223388672,25.76858139038086
spectral_entropy,0.8276105097261456,0.9207105660483133,0.9375082491442045
condition_number,103662.15625,54603.828125,23953.998046875
eigenvalue_mean,0.0006434654933400452,0.0001701486180536449,0.00010089372517541051
eigenvalue_std,0.0007959509966894984,0.00010877125896513462,5.3386502258945256e-05
