prefix,group_size,n_items,assigned_digits,max_digit,l3_capacity_used
[0, 0, 0],6,6,[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)],5,6
[13, 113, 96],3,3,[np.int64(0), np.int64(1), np.int64(2)],2,3
[32, 70, 177],3,3,[np.int64(0), np.int64(1), np.int64(2)],2,3
[63, 123, 57],3,3,[np.int64(0), np.int64(1), np.int64(2)],2,3
[33, 43, 19],2,2,[np.int64(0), np.int64(1)],1,2
[1, 75, 152],2,2,[np.int64(0), np.int64(1)],1,2
[45, 103, 149],2,2,[np.int64(0), np.int64(1)],1,2
[3, 86, 118],2,2,[np.int64(0), np.int64(1)],1,2
[9, 63, 232],2,2,[np.int64(0), np.int64(1)],1,2
[10, 107, 148],2,2,[np.int64(0), np.int64(1)],1,2
[17, 44, 2],2,2,[np.int64(0), np.int64(1)],1,2
[39, 88, 214],2,2,[np.int64(0), np.int64(1)],1,2
[13, 27, 133],2,2,[np.int64(0), np.int64(1)],1,2
[14, 77, 45],2,2,[np.int64(0), np.int64(1)],1,2
[40, 90, 108],2,2,[np.int64(0), np.int64(1)],1,2
[33, 47, 242],2,2,[np.int64(0), np.int64(1)],1,2
[13, 17, 142],2,2,[np.int64(0), np.int64(1)],1,2
[16, 109, 182],2,2,[np.int64(0), np.int64(1)],1,2
[26, 3, 242],2,2,[np.int64(0), np.int64(1)],1,2
[39, 37, 28],2,2,[np.int64(0), np.int64(1)],1,2
[38, 35, 102],2,2,[np.int64(0), np.int64(1)],1,2
[20, 119, 118],1,1,[np.int64(0)],0,1
[55, 119, 58],1,1,[np.int64(0)],0,1
[61, 14, 233],1,1,[np.int64(0)],0,1
[19, 78, 199],1,1,[np.int64(0)],0,1
[10, 94, 222],1,1,[np.int64(0)],0,1
[55, 16, 52],1,1,[np.int64(0)],0,1
[7, 91, 105],1,1,[np.int64(0)],0,1
[27, 86, 60],1,1,[np.int64(0)],0,1
[6, 76, 123],1,1,[np.int64(0)],0,1
[6, 89, 33],1,1,[np.int64(0)],0,1
[61, 56, 71],1,1,[np.int64(0)],0,1
[38, 31, 92],1,1,[np.int64(0)],0,1
[56, 14, 200],1,1,[np.int64(0)],0,1
[56, 6, 62],1,1,[np.int64(0)],0,1
[13, 39, 169],1,1,[np.int64(0)],0,1
[36, 76, 198],1,1,[np.int64(0)],0,1
[21, 67, 242],1,1,[np.int64(0)],0,1
[7, 89, 29],1,1,[np.int64(0)],0,1
[2, 12, 3],1,1,[np.int64(0)],0,1
[7, 24, 162],1,1,[np.int64(0)],0,1
[10, 31, 9],1,1,[np.int64(0)],0,1
[8, 103, 170],1,1,[np.int64(0)],0,1
[47, 12, 79],1,1,[np.int64(0)],0,1
[61, 41, 186],1,1,[np.int64(0)],0,1
[57, 59, 170],1,1,[np.int64(0)],0,1
[10, 67, 222],1,1,[np.int64(0)],0,1
[53, 63, 212],1,1,[np.int64(0)],0,1
[2, 75, 220],1,1,[np.int64(0)],0,1
[11, 71, 251],1,1,[np.int64(0)],0,1
