bucket_name,bucket_value,n,R@5,R@10,R@20,NDCG@5,NDCG@10,NDCG@20,hit_rate_top20
history_length,1-5,12556,0.0920,0.1136,0.1391,0.0777,0.0846,0.0910,0.1391
history_length,11-15,2003,0.0494,0.0594,0.0744,0.0431,0.0463,0.0501,0.0744
history_length,16-20,791,0.0329,0.0442,0.0619,0.0253,0.0289,0.0333,0.0619
history_length,6-10,8652,0.0724,0.0902,0.1104,0.0611,0.0668,0.0719,0.1104
history_length,nan,770,0.0299,0.0429,0.0532,0.0255,0.0296,0.0323,0.0532
L3_PAD,PAD=0,24717,0.0774,0.0961,0.1180,0.0653,0.0712,0.0768,0.1180
L3_PAD,non-PAD,55,0.3091,0.3273,0.4364,0.3024,0.3081,0.3356,0.4364
L0_freq_quantile,[0,100),24028,0.0751,0.0916,0.1121,0.0640,0.0693,0.0745,0.1121
L0_freq_quantile,[100,200),640,0.1938,0.2922,0.3781,0.1440,0.1749,0.1972,0.3781
L0_freq_quantile,[200,1000),104,0.0000,0.0385,0.0577,0.0000,0.0120,0.0168,0.0577
L2_uniqueness,[0.10,0.20),5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
L2_uniqueness,[0.20,1.0],24767,0.0779,0.0966,0.1187,0.0658,0.0718,0.0774,0.1187
item_popularity,[0,10),24772,0.0779,0.0966,0.1187,0.0658,0.0718,0.0774,0.1187
