epoch,layer,transport_error
102,0,2.8437801002922924e-09
102,1,3.119107194748949e-09
103,0,3.356282141098177e-09
103,1,3.339251541945032e-09
104,0,2.784855457349522e-09
104,1,2.9702553749899607e-09
105,0,3.177109242358256e-09
105,1,3.6634926203760187e-09
106,0,2.6936390895571094e-09
106,1,3.4125204884105642e-09
107,0,3.317434771332728e-09
107,1,3.873480203253621e-09
108,0,3.7803551400372726e-09
108,1,3.530731040868318e-09
109,0,3.1419706836288697e-09
109,1,3.658048530752467e-09
110,0,3.2612998968062357e-09
110,1,3.780440405165564e-09
111,0,3.890356481406343e-09
111,1,4.0040122328832695e-09
112,0,3.48885942358379e-09
112,1,3.467924836186853e-09
113,0,3.750483479336708e-09
113,1,3.8498577659140665e-09
114,0,3.103071577470473e-09
114,1,3.7202450009488075e-09
115,0,3.2312528208677804e-09
115,1,3.5071949788800794e-09
116,0,3.0306954723613444e-09
116,1,3.2888065604197436e-09
117,0,3.2130336169444718e-09
117,1,3.5596954273131587e-09
118,0,2.9043938365447275e-09
118,1,2.9834354986491007e-09
119,0,2.966365819645489e-09
119,1,3.33982042022285e-09
120,0,3.1806581812787726e-09
120,1,3.6191778463035007e-09
121,0,3.882638210939149e-09
121,1,3.878505072663074e-09
122,0,3.2040594621918217e-09
122,1,3.468345610713186e-09
123,0,3.4324523223716596e-09
123,1,3.893127598075807e-09
124,0,3.6052540952624668e-09
124,1,3.5975384893305318e-09
125,0,3.6883607279492026e-09
125,1,4.0023890868212675e-09
126,0,3.675777016098891e-09
126,1,3.479799337569034e-09
127,0,3.374852841631082e-09
127,1,3.5484353233528054e-09
128,0,3.8204883701098424e-09
128,1,4.046124324474931e-09
129,0,3.669693438013155e-09
129,1,4.091157190799777e-09
130,0,3.628920941523006e-09
130,1,3.7896317195418305e-09
131,0,4.00717947712792e-09
131,1,3.819811134064821e-09
132,0,4.177457491039149e-09
132,1,3.8799052859417316e-09
133,0,3.869283560220538e-09
133,1,4.10269862527457e-09
134,0,3.76048836514542e-09
134,1,3.878994458972329e-09
135,0,3.7327585467039626e-09
135,1,3.968788853114802e-09
136,0,3.509509349797213e-09
136,1,4.08152134312445e-09
137,0,3.9997769540889294e-09
137,1,4.024553579284884e-09
138,0,3.2960842943907664e-09
138,1,3.6448033480240838e-09
139,0,3.5613865190242677e-09
139,1,4.075622506150012e-09
140,0,4.336877079680335e-09
140,1,3.6938165859368155e-09
141,0,3.3003881849680283e-09
141,1,3.887423272175283e-09
142,0,3.976131424110463e-09
142,1,4.046202928265075e-09
143,0,3.5549456711692073e-09
143,1,4.0177314808431674e-09
144,0,4.122836294584431e-09
144,1,4.6235677508832396e-09
145,0,3.2412450501340118e-09
145,1,3.775688206530958e-09
146,0,4.623087246358182e-09
146,1,4.422173738305446e-09
147,0,3.909806700619356e-09
147,1,3.6263498870425792e-09
148,0,4.060586533682908e-09
148,1,3.887946409264487e-09
149,0,3.9665124518251105e-09
149,1,4.396184749566601e-09
150,0,3.5303449053003533e-09
150,1,3.895824551847227e-09
151,0,3.754627719843029e-09
151,1,4.840234435476987e-09
152,0,3.740490139847452e-09
152,1,4.164429689978988e-09
153,0,4.224421257248423e-09
153,1,4.781678608622997e-09
154,0,4.1024605934580904e-09
154,1,5.1193520533843184e-09
155,0,4.140379150641138e-09
155,1,4.9165502780113e-09
156,0,4.827671595819538e-09
156,1,5.072196884725599e-09
157,0,4.145456422577354e-09
157,1,4.5331285392080645e-09
158,0,4.796238517457141e-09
158,1,5.888369791762216e-09
159,0,4.607389136879192e-09
159,1,5.174442208044638e-09
160,0,4.864634028933779e-09
160,1,4.935908570757874e-09
161,0,5.507460709708312e-09
161,1,5.231064470478941e-09
162,0,4.931392627582909e-09
162,1,5.1897517394650095e-09
163,0,4.318569057915056e-09
163,1,4.821241628150119e-09
164,0,5.925670620854362e-09
164,1,5.047263496038568e-09
165,0,5.084667797916609e-09
165,1,4.820885468603819e-09
166,0,3.953419813740311e-09
166,1,4.718484269972123e-09
167,0,5.154820126307413e-09
167,1,5.5565272383262254e-09
168,0,5.0188448952326326e-09
168,1,4.991816737742738e-09
169,0,5.2954356455359175e-09
169,1,5.5660049902428455e-09
170,0,4.826700372717596e-09
170,1,4.6797774544415915e-09
171,0,4.678725851192667e-09
171,1,5.158991900344745e-09
172,0,4.278370990817848e-09
172,1,5.394279689596715e-09
173,0,4.7087738153095415e-09
173,1,5.754300591576111e-09
174,0,4.775648765331653e-09
174,1,6.037473632147794e-09
175,0,4.881554271918276e-09
175,1,5.486179066593877e-09
176,0,5.624662957615101e-09
176,1,5.480770060017903e-09
177,0,4.689479915498396e-09
177,1,5.200575525776685e-09
178,0,4.614832516125489e-09
178,1,5.030029281982706e-09
179,0,4.956816734846825e-09
179,1,4.8119135342972186e-09
180,0,4.543497134079644e-09
180,1,5.038127692813532e-09
181,0,4.906495210121875e-09
181,1,5.255488044753065e-09
182,0,4.227283412205907e-09
182,1,4.813571763406799e-09
183,0,5.206221231901509e-09
183,1,5.2463109412315134e-09
184,0,4.71073269281419e-09
184,1,5.511980649686166e-09
185,0,4.833217825961356e-09
185,1,4.589935986842875e-09
186,0,3.840260998089207e-09
186,1,5.087548160531696e-09
187,0,4.715024815027391e-09
187,1,5.140569303563325e-09
188,0,4.781954388022314e-09
188,1,5.005027503557358e-09
189,0,4.840984502152423e-09
189,1,5.446916695461823e-09
190,0,5.999974295178845e-09
190,1,5.799874358558554e-09
191,0,5.179408013589182e-09
191,1,4.868109915179275e-09
192,0,4.736839809282856e-09
192,1,4.956163479619136e-09
193,0,4.338351899946247e-09
193,1,5.1024069414040696e-09
194,0,5.360311305935284e-09
194,1,5.599750885210142e-09
195,0,4.597446867649069e-09
195,1,5.545260695072329e-09
196,0,5.085921017666806e-09
196,1,4.952777299394029e-09
197,0,5.137820835443563e-09
197,1,5.380840661928232e-09
198,0,5.30052313152396e-09
198,1,5.601399344357105e-09
199,0,5.014770376732258e-09
199,1,5.480544462699299e-09
200,0,5.451802120859384e-09
200,1,6.153781484385945e-09
201,0,4.944906262238646e-09
201,1,5.555726101391656e-09
202,0,4.122567176523262e-09
202,1,4.915667428662118e-09
203,0,5.354293453052605e-09
203,1,5.751828346944876e-09
204,0,4.601580894103563e-09
204,1,5.688115756186107e-09
205,0,5.314247708554376e-09
205,1,5.491282539793474e-09
206,0,5.385747403607866e-09
206,1,4.699737932156722e-09
207,0,5.19673992727121e-09
207,1,5.1844883941498665e-09
208,0,5.5674767018842886e-09
208,1,5.579579909209542e-09
209,0,5.733680641384353e-09
209,1,5.22994181295644e-09
210,0,6.6403882392762625e-09
210,1,7.1441990101561714e-09
211,0,5.084865861704202e-09
211,1,5.868792563035186e-09
212,0,5.7810014553183464e-09
212,1,6.065242530439718e-09
213,0,4.7794728175176715e-09
213,1,5.0674366924852166e-09
214,0,4.677569886979427e-09
214,1,6.550286091311364e-09
215,0,4.9054245110369266e-09
215,1,6.0018088277047354e-09
216,0,4.568037947905168e-09
216,1,5.608469688667128e-09
217,0,4.645764217769965e-09
217,1,5.344908959870054e-09
218,0,4.596835356807105e-09
218,1,5.014758386323592e-09
219,0,5.312109863098158e-09
219,1,5.777728961930961e-09
220,0,4.618089466390529e-09
220,1,5.50382273090122e-09
221,0,4.6470050030222865e-09
221,1,5.657002866144012e-09
222,0,5.5655959840805735e-09
222,1,6.103284544423104e-09
223,0,5.011796311293892e-09
223,1,4.961280719584238e-09
224,0,4.634180594820236e-09
224,1,5.563038918410257e-09
225,0,5.6236242329532615e-09
225,1,5.500333077890218e-09
226,0,4.826917532341213e-09
226,1,5.88672932622103e-09
227,0,5.270409886293237e-09
227,1,5.398253399846453e-09
228,0,5.206831854565053e-09
228,1,5.806364722360513e-09
229,0,6.264699425884146e-09
229,1,6.972434629659574e-09
230,0,5.1756412489112336e-09
230,1,6.550294529006351e-09
231,0,6.044206912747541e-09
231,1,6.1904685821900785e-09
232,0,4.498553085596768e-09
232,1,4.681539600426277e-09
233,0,4.993273350351046e-09
233,1,4.738073489107819e-09
234,0,5.704178462906384e-09
234,1,5.500334410157848e-09
235,0,4.604348013970139e-09
235,1,5.040447614845789e-09
236,0,4.947647624931051e-09
236,1,4.48643344697075e-09
237,0,6.234341487498796e-09
237,1,6.021025455993367e-09
238,0,5.538038472252538e-09
238,1,5.5871285375985735e-09
239,0,5.057050778134453e-09
239,1,5.56229018400245e-09
240,0,4.5778105750571285e-09
240,1,5.342124520524294e-09
241,0,4.227092897934881e-09
241,1,4.416961019160226e-09
242,0,5.279971126981309e-09
242,1,5.4647899538906586e-09
243,0,5.095196708992944e-09
243,1,6.808139385583445e-09
244,0,5.638606026536763e-09
244,1,5.860032015192473e-09
245,0,6.119367235157824e-09
245,1,6.192248935832367e-09
246,0,4.14120338021462e-09
246,1,5.409557246593977e-09
247,0,4.4274530708321436e-09
247,1,5.01855712542465e-09
248,0,5.0596500322797056e-09
248,1,6.470054270124592e-09
249,0,4.513789786386724e-09
249,1,4.367775918723282e-09
250,0,6.886966108510251e-09
250,1,6.201470892364114e-09
251,0,5.168756533890928e-09
251,1,6.7400538483752825e-09
252,0,5.132192448797923e-09
252,1,6.615034742196713e-09
253,0,4.584859158995869e-09
253,1,5.976943384666811e-09
254,0,5.572509564899519e-09
254,1,5.7618056992225775e-09
255,0,5.8203908359644174e-09
255,1,5.686750625955028e-09
256,0,5.750757203770718e-09
256,1,6.614011560657218e-09
257,0,6.271297259274888e-09
257,1,6.585389122903962e-09
258,0,6.264241125819581e-09
258,1,6.120792317432233e-09
259,0,5.008741421619334e-09
259,1,5.851470863404984e-09
260,0,5.529306346119256e-09
260,1,5.9982427913496394e-09
261,0,7.241953259295997e-09
261,1,6.791277762374648e-09
262,0,6.812897801466988e-09
262,1,7.0007573071961815e-09
263,0,7.038362337397075e-09
263,1,6.547011377477929e-09
264,0,5.817788917283906e-09
264,1,5.861134244611321e-09
265,0,6.209667446910316e-09
265,1,6.45981357294545e-09
266,0,4.988351953727488e-09
266,1,5.585196305446516e-09
267,0,5.118878654286618e-09
267,1,5.044083373206831e-09
268,0,6.091722681844658e-09
268,1,5.743480357978115e-09
269,0,5.723852058991952e-09
269,1,6.3153362539480895e-09
270,0,6.446334133158871e-09
270,1,6.5563283691005836e-09
271,0,4.719429291810684e-09
271,1,5.633641997349059e-09
272,0,5.1890820529365556e-09
272,1,5.69728930699398e-09
273,0,6.854472101025522e-09
273,1,6.749713232778731e-09
274,0,6.5429115458925935e-09
274,1,6.10486594609938e-09
275,0,6.8958878607361385e-09
275,1,7.012140645912268e-09
276,0,6.496389204357911e-09
276,1,7.085708908505239e-09
277,0,6.492819171199926e-09
277,1,5.92837068325025e-09
278,0,5.765330879370367e-09
278,1,6.66956978534472e-09
279,0,5.924833956783004e-09
279,1,7.56525952994025e-09
280,0,7.86970133503928e-09
280,1,7.875492258335726e-09
281,0,6.780436212494578e-09
281,1,6.828762444399672e-09
282,0,5.623028265233643e-09
282,1,6.349982761832962e-09
283,0,4.994234359401162e-09
283,1,6.563531051995142e-09
284,0,6.710934030706994e-09
284,1,6.458418244648101e-09
285,0,7.233368126691175e-09
285,1,6.997062484970229e-09
286,0,6.3375735770421215e-09
286,1,6.438744204473323e-09
287,0,6.7413985505027085e-09
287,1,7.466958606983098e-09
288,0,7.776536747883256e-09
288,1,7.783015121276549e-09
289,0,5.961642735030637e-09
289,1,6.018295195531209e-09
290,0,6.40857411582374e-09
290,1,5.19558440714718e-09
291,0,6.712431499522609e-09
291,1,6.885091607955474e-09
292,0,6.285422848861799e-09
292,1,6.835975341346057e-09
293,0,5.964728710949885e-09
293,1,6.179111444737373e-09
294,0,5.350571985474062e-09
294,1,6.7092122968404055e-09
295,0,5.8502189759224166e-09
295,1,5.624985366381452e-09
296,0,5.634749555838425e-09
296,1,6.41683728375142e-09
297,0,6.092646387401146e-09
297,1,5.992385698760927e-09
298,0,5.5202917792485096e-09
298,1,6.510885608435046e-09
299,0,6.920537032328866e-09
299,1,7.029982374007204e-09
300,0,5.361949106941211e-09
300,1,6.5940062299318924e-09
301,0,6.4363625540408975e-09
301,1,7.434143967088858e-09
302,0,5.6989053476286244e-09
302,1,6.120719042712608e-09
303,0,6.795963347627776e-09
303,1,6.499019100658643e-09
304,0,6.760935367111642e-09
304,1,6.875617852841742e-09
305,0,5.682285753039196e-09
305,1,6.771572191865971e-09
306,0,7.3957528989865295e-09
306,1,6.259574636402476e-09
307,0,6.643910310799583e-09
307,1,5.856727991471189e-09
308,0,6.6137380017039504e-09
308,1,7.004575586222472e-09
309,0,6.713977374062097e-09
309,1,6.5236149815461886e-09
310,0,6.359164306246612e-09
310,1,7.019917092065953e-09
311,0,6.397978147276717e-09
311,1,7.702075421889276e-09
312,0,5.463890229151502e-09
312,1,6.45519238062775e-09
313,0,6.532700602690511e-09
313,1,6.501332361352752e-09
314,0,6.398358287640349e-09
314,1,6.724671042235286e-09
315,0,7.304125304585796e-09
315,1,7.65722329987284e-09
316,0,6.427157916988335e-09
316,1,6.926254236816476e-09
317,0,6.072548686120172e-09
317,1,7.629717302393146e-09
318,0,6.411945641104921e-09
318,1,6.690564990918801e-09
319,0,5.5186322178713e-09
319,1,6.555350928749704e-09
320,0,6.287313336628131e-09
320,1,6.812818309498425e-09
321,0,5.839483119274291e-09
321,1,6.430742161001035e-09
322,0,6.2569318615146585e-09
322,1,6.209680325497402e-09
323,0,7.577880545284188e-09
323,1,6.782413741746041e-09
324,0,6.270335362046353e-09
324,1,7.204385532588731e-09
325,0,7.295172910204428e-09
325,1,6.48170050965291e-09
326,0,6.033151755957533e-09
326,1,7.37889971347272e-09
327,0,7.399166168653437e-09
327,1,6.630616500302722e-09
328,0,6.18492457249431e-09
328,1,6.73603262058009e-09
329,0,7.2202999135129176e-09
329,1,7.181835126601754e-09
330,0,6.00075900081265e-09
330,1,6.469254465457652e-09
331,0,5.656374924001284e-09
331,1,7.172560767543246e-09
332,0,6.441882582919334e-09
332,1,7.341014462980411e-09
333,0,6.882440395372669e-09
333,1,6.897642013115046e-09
334,0,7.543004443277823e-09
334,1,7.095548149038677e-09
335,0,5.895971710856429e-09
335,1,7.668322865583832e-09
336,0,6.728765100660894e-09
336,1,6.272873331880646e-09
337,0,5.690996562890405e-09
337,1,6.943814856441577e-09
338,0,6.486194692456593e-09
338,1,7.367136678482211e-09
339,0,5.630616861651561e-09
339,1,5.761020993588772e-09
340,0,6.485098236197473e-09
340,1,6.813689168438941e-09
341,0,5.262658309135304e-09
341,1,6.926481610491919e-09
342,0,5.846040540546937e-09
342,1,7.284558733999802e-09
343,0,7.790347922309593e-09
343,1,7.309477023653699e-09
344,0,6.779683925373092e-09
344,1,7.991144634900138e-09
345,0,5.978157524566541e-09
345,1,6.819164788396392e-09
346,0,6.2832685721048165e-09
346,1,6.882220571213793e-09
347,0,5.4756843503867e-09
347,1,6.753422265859399e-09
348,0,5.7648561480050375e-09
348,1,5.835529837128206e-09
349,0,7.094346887726033e-09
349,1,6.553003029097226e-09
350,0,6.957531883955426e-09
350,1,6.6725509562104435e-09
351,0,6.54422604995375e-09
351,1,5.936759972513528e-09
352,0,6.051160905684583e-09
352,1,7.098732712762512e-09
353,0,6.0169229598727725e-09
353,1,6.451962075715301e-09
354,0,5.547199588562535e-09
354,1,6.407038455336078e-09
355,0,6.4298673052576305e-09
355,1,6.015050235674835e-09
356,0,5.120900592459066e-09
356,1,6.029956534092662e-09
357,0,5.901954924780739e-09
357,1,5.9827462983719215e-09
358,0,6.407717023648729e-09
358,1,7.537527046963532e-09
359,0,6.66015109729301e-09
359,1,7.739052065858232e-09
360,0,6.275482800077725e-09
360,1,6.95808211048643e-09
361,0,6.833177579324001e-09
361,1,8.003793183775088e-09
362,0,6.4929808196723116e-09
362,1,6.232643734449539e-09
363,0,6.907041161241523e-09
363,1,7.236774735019935e-09
364,0,7.2995613997761666e-09
364,1,7.659812339966265e-09
365,0,6.959702147923963e-09
365,1,7.310532623705512e-09
366,0,6.78857681180034e-09
366,1,6.6538112797331905e-09
367,0,7.970422544190114e-09
367,1,6.9856902484843886e-09
368,0,6.179894374014339e-09
368,1,6.525190610062737e-09
369,0,6.7922294455513565e-09
369,1,7.418315739471382e-09
370,0,6.65914434705428e-09
370,1,7.599531670621218e-09
371,0,6.3649943093935235e-09
371,1,7.623289555169777e-09
372,0,8.406146001505022e-09
372,1,7.57088702840747e-09
373,0,6.820867870516167e-09
373,1,7.416076197586108e-09
374,0,7.111211175470089e-09
374,1,7.012958658236812e-09
375,0,7.940127666472563e-09
375,1,8.703796794407026e-09
376,0,7.403509361125771e-09
376,1,6.949174569115257e-09
377,0,6.034830413170766e-09
377,1,6.524092377446777e-09
378,0,7.77551623087902e-09
378,1,7.286999004207928e-09
379,0,7.412048752541978e-09
379,1,7.70543895356468e-09
380,0,7.026459414305464e-09
380,1,7.791282286007117e-09
381,0,6.6090874994984006e-09
381,1,8.46198222603789e-09
382,0,8.164699139001641e-09
382,1,8.511213955841868e-09
383,0,7.544180391505506e-09
383,1,7.545025049182641e-09
384,0,7.005212854238607e-09
384,1,6.975139577036771e-09
385,0,6.569493393726589e-09
385,1,7.220508635441547e-09
386,0,6.0324754080909315e-09
386,1,7.255771983238901e-09
387,0,6.292673493391021e-09
387,1,7.379657329664724e-09
388,0,7.337251695105351e-09
388,1,7.228915244184009e-09
389,0,7.777908095363273e-09
389,1,8.289843478337389e-09
390,0,6.945159558569003e-09
390,1,8.229140036064564e-09
391,0,6.924560036480898e-09
391,1,8.284522401424965e-09
392,0,9.303391834691865e-09
392,1,8.265535811347036e-09
393,0,6.67413191379751e-09
393,1,7.657125600246673e-09
394,0,7.536345769665331e-09
394,1,7.874245255834467e-09
395,0,7.0252990092001255e-09
395,1,7.64466356883986e-09
396,0,7.026624171402318e-09
396,1,7.929839007658757e-09
397,0,8.156835207273616e-09
397,1,7.785803113335987e-09
398,0,7.078477359812041e-09
398,1,7.973714133413523e-09
399,0,7.402619850438441e-09
399,1,8.327345923930807e-09
400,0,6.846734290633094e-09
400,1,7.741737029220985e-09
401,0,8.367963211242113e-09
401,1,7.62215535132782e-09
402,0,6.058253010365888e-09
402,1,6.8513448248097575e-09
403,0,7.113018174464969e-09
403,1,7.070347862736526e-09
404,0,6.714224731751983e-09
404,1,8.562850872806393e-09
405,0,6.935918506201233e-09
405,1,7.831235215860488e-09
406,0,6.834472543459924e-09
406,1,6.782375994163203e-09
407,0,7.308696758911992e-09
407,1,7.522734435383427e-09
408,0,6.249751827169803e-09
408,1,7.059725248836912e-09
409,0,6.866461621513054e-09
409,1,8.480857793813357e-09
410,0,6.899961046968883e-09
410,1,6.024861942677262e-09
411,0,7.959859438244621e-09
411,1,7.729916262633196e-09
412,0,6.215052916758168e-09
412,1,7.5125665688347e-09
413,0,6.74539224476689e-09
413,1,6.9936163527017925e-09
414,0,7.145620095627692e-09
414,1,7.338675001022921e-09
415,0,5.314838347203477e-09
415,1,6.220761683550791e-09
416,0,7.3777304265831845e-09
416,1,8.052380096046363e-09
417,0,6.796244456097611e-09
417,1,8.116045613348888e-09
418,0,7.031295101711521e-09
418,1,7.108346800066556e-09
419,0,6.776088135040936e-09
419,1,7.58631468755766e-09
420,0,6.327674828554564e-09
420,1,8.06702171729512e-09
421,0,6.035243860225137e-09
421,1,7.136884860869941e-09
422,0,6.4913576736103096e-09
422,1,7.438822446914628e-09
423,0,7.096925269678422e-09
423,1,7.443156757602765e-09
424,0,7.714608507569665e-09
424,1,7.725210693365625e-09
425,0,7.350355435420397e-09
425,1,7.562340087474695e-09
426,0,6.6476952831351355e-09
426,1,8.578258992031351e-09
427,0,7.1700760884141346e-09
427,1,8.557391240060497e-09
428,0,6.913544403630567e-09
428,1,6.563644738832863e-09
429,0,7.759454412337163e-09
429,1,8.481451096997716e-09
430,0,7.369443721927382e-09
430,1,9.125404432097639e-09
431,0,6.573698474454659e-09
431,1,7.342407126742501e-09
432,0,6.0504952159590175e-09
432,1,6.943387198532491e-09
433,0,5.940225644707198e-09
433,1,7.983594230154267e-09
434,0,7.292370707290274e-09
434,1,8.345771185247486e-09
435,0,7.0528263229618915e-09
435,1,7.90749510315436e-09
436,0,8.044670707363366e-09
436,1,7.175092076039391e-09
437,0,7.074111518790005e-09
437,1,7.510537081145685e-09
438,0,6.0002034452111275e-09
438,1,8.172869492284462e-09
439,0,7.943000035481873e-09
439,1,8.608217250127836e-09
440,0,7.983938843381111e-09
440,1,7.692166015260682e-09
441,0,6.204488478545045e-09
441,1,7.148049707694781e-09
442,0,6.4885234962730465e-09
442,1,6.764849125318051e-09
443,0,5.660494295511853e-09
443,1,6.726324830452768e-09
444,0,7.824493941654964e-09
444,1,7.567547477549397e-09
445,0,9.534484313178382e-09
445,1,7.193735829247316e-09
446,0,5.754751786213319e-09
446,1,6.852911127452899e-09
447,0,6.680060948838218e-09
447,1,7.54793205715032e-09
448,0,8.537588414014863e-09
448,1,8.190215616821206e-09
449,0,8.524722261427087e-09
449,1,8.157049258272764e-09
450,0,6.869282032084811e-09
450,1,6.9096515176170215e-09
451,0,8.427759823348424e-09
451,1,8.526040318201922e-09
452,0,7.603566665181916e-09
452,1,8.480297353230526e-09
453,0,7.60583596104425e-09
453,1,8.620534508452238e-09
454,0,8.657589312122127e-09
454,1,9.214928375911313e-09
455,0,7.32546778792198e-09
455,1,7.461437689926242e-09
456,0,6.143940023406458e-09
456,1,7.330918982972889e-09
