epoch,layer,residual_norm,roundtrip_error,transport_error,boundary_hit_rate
11,2,0.000669317611027509,3.223664390983316e-11,,0.0
12,0,0.03391014039516449,2.246107522196894e-09,2.685575539729257e-09,0.0
12,1,0.0007666787132620811,3.8337420044110004e-11,3.1459372884512504e-09,0.0
12,2,0.0006221912335604429,2.8020074108181525e-11,,0.0
13,0,0.034338805824518204,2.1929420501720642e-09,3.1371942821323273e-09,0.0
13,1,0.0008007065043784678,3.8009408120931454e-11,3.085923294676718e-09,0.0
13,2,0.0006364983855746686,3.0437433823360394e-11,,0.0
14,0,0.0353020541369915,2.179223024256771e-09,2.7782858236236052e-09,0.0
14,1,0.0007496855105273426,2.9711871851745286e-11,3.165616435651941e-09,0.0
14,2,0.0006191199645400047,2.962512180015864e-11,,0.0
15,0,0.03443623334169388,2.1084669565851755e-09,2.693317346924573e-09,0.0
15,1,0.000785393116530031,3.4756562211635256e-11,3.008829851935957e-09,0.0
15,2,0.0006098960875533521,2.540944885054408e-11,,0.0
16,0,0.03359957039356232,2.059245662877629e-09,3.087060607143144e-09,0.0
16,1,0.0007223000284284353,3.667863929246451e-11,3.1497571217897757e-09,0.0
16,2,0.0005643798504024744,2.220502080818587e-11,,0.0
17,0,0.0353056900203228,2.2049988501748885e-09,2.9951412461315385e-09,0.0
17,1,0.0007134813349694014,3.0642450382645237e-11,3.0915432436273704e-09,0.0
17,2,0.0005557466065511107,2.421124932483476e-11,,0.0
18,0,0.035468876361846924,2.2531585486262884e-09,2.80658718487814e-09,0.0
18,1,0.000655099400319159,3.123226677281821e-11,3.106671142560913e-09,0.0
18,2,0.000539131520781666,1.9770374573568894e-11,,0.0
19,0,0.03353814408183098,1.8687711378362337e-09,2.6709121581092177e-09,0.0
19,1,0.0006889193900860846,3.244017901526952e-11,2.6846647127598544e-09,0.0
19,2,0.0005501479026861489,2.668186852017307e-11,,0.0
20,0,0.03441155329346657,2.1023631724403913e-09,2.6818152143448515e-09,0.0
20,1,0.0006680812803097069,3.251605582010875e-11,2.9330855522147203e-09,0.0
20,2,0.0005316663300618529,2.1926471055477847e-11,,0.0
21,0,0.034373342990875244,1.9284653873796742e-09,2.7666782198565443e-09,0.0
21,1,0.0006294554914347827,2.7819106393489612e-11,2.995450554266199e-09,0.0
21,2,0.0005011419416405261,2.4602177933763514e-11,,0.0
22,0,0.035608820617198944,2.2455763915019133e-09,3.232136558395382e-09,0.0
22,1,0.0006115989526733756,2.8022174858310933e-11,3.1012168388855343e-09,0.0
22,2,0.0005052922642789781,2.2342315497692056e-11,,0.0
23,0,0.03439299017190933,2.145894573146734e-09,2.6014308485144966e-09,0.0
23,1,0.0005842716782353818,2.656428896297136e-11,3.0012217155928056e-09,0.0
23,2,0.000497278815601021,2.034738696976568e-11,,0.0
24,0,0.035445135086774826,2.1656179072238047e-09,2.6256261609347575e-09,0.0
24,1,0.000594394572544843,2.4122608424659298e-11,3.1465894334559152e-09,0.0
24,2,0.000503750576172024,2.3751276986838654e-11,,0.0
25,0,0.034628674387931824,2.1347705825291996e-09,3.1389968402351087e-09,0.0
25,1,0.0006462858291342854,3.204738210915714e-11,2.9045219562817692e-09,0.0
25,2,0.000539274187758565,2.026541087718492e-11,,0.0
26,0,0.032294802367687225,2.037109370078838e-09,2.6293069943505998e-09,0.0
26,1,0.0006136044394224882,3.008739438148389e-11,2.54641929764432e-09,0.0
26,2,0.0005740867927670479,2.8091145728992295e-11,,0.0
27,0,0.03284451737999916,1.9339907453286287e-09,2.744248606134647e-09,0.0
27,1,0.0005842773825861514,2.4998329795078433e-11,2.900094386859564e-09,0.0
27,2,0.0005601948359981179,2.4755864025394203e-11,,0.0
28,0,0.033901315182447433,2.070479343529996e-09,2.911482388512354e-09,0.0
28,1,0.000582172826398164,2.2283053874305736e-11,3.0400553185927492e-09,0.0
28,2,0.0006483977194875479,2.9610782575906214e-11,,0.0
29,0,0.032845765352249146,1.9329244871357787e-09,2.716505687061499e-09,0.0
29,1,0.0005197010468691587,2.24625353040242e-11,2.9431588277617493e-09,0.0
29,2,0.0005045028519816697,2.5182236504384115e-11,,0.0
30,0,0.03365026414394379,1.9868122702604296e-09,2.9016296032580158e-09,0.0
30,1,0.0005520409904420376,2.2959805931477284e-11,2.8704250087940864e-09,0.0
30,2,0.0005051154876127839,2.259462408837898e-11,,0.0
31,0,0.03528570383787155,2.0795150046382105e-09,3.4813556482049535e-09,0.0
31,1,0.0005174505640752614,2.122603828813574e-11,3.2074929379177775e-09,0.0
31,2,0.0005862684920430183,2.614328371841612e-11,,0.0
32,0,0.032116763293743134,1.987269682146575e-09,2.5492554733830275e-09,0.0
32,1,0.0005210347007960081,2.5063257025337293e-11,2.9240019294718422e-09,0.0
32,2,0.0007154890918172896,2.892005385168872e-11,,0.0
33,0,0.033748842775821686,2.0679429280079376e-09,2.880490290735338e-09,0.0
33,1,0.0005405560950748622,2.7216982140254586e-11,3.0159277297769904e-09,0.0
33,2,0.0006454889662563801,2.2971782462355428e-11,,0.0
34,0,0.03274073451757431,1.9934234263274675e-09,2.400700083171614e-09,0.0
34,1,0.0005126208998262882,2.293430376165695e-11,2.8652153982733353e-09,0.0
34,2,0.0005745727103203535,2.7397948493268487e-11,,0.0
35,0,0.03349042683839798,1.990407172414166e-09,2.7411666270182877e-09,0.0
35,1,0.0004970987210981548,2.0346523077474643e-11,3.040106610896487e-09,0.0
35,2,0.0005781848449259996,2.4130676623546066e-11,,0.0
36,0,0.033044829964637756,2.012484623392652e-09,2.7032165395013408e-09,0.0
36,1,0.0005221948376856744,2.343055784115311e-11,2.6954838361348266e-09,0.0
36,2,0.0005578261916525662,2.409702992700602e-11,,0.0
37,0,0.03302165865898132,2.0627950458873556e-09,2.4966944067728036e-09,0.0
37,1,0.0005054380744695663,2.1111152756492224e-11,2.8097255633241502e-09,0.0
37,2,0.0005804363754577935,2.709782745413669e-11,,0.0
38,0,0.03197916969656944,2.0816022239245058e-09,2.8931366191642383e-09,0.0
38,1,0.0005449146847240627,2.4470243539798098e-11,2.793468567574564e-09,0.0
38,2,0.0007038305047899485,3.4682257066265265e-11,,0.0
39,0,0.03117336519062519,1.9916099880390448e-09,2.7430895332969385e-09,0.0
39,1,0.00048465310828760266,2.4307313106763928e-11,2.717379654626484e-09,0.0
39,2,0.0006501795724034309,2.618400982146163e-11,,0.0
40,0,0.03221285715699196,1.9961152730729737e-09,2.615842431552551e-09,0.0
40,1,0.0004962452221661806,2.2150354467287414e-11,2.7411788394715586e-09,0.0
40,2,0.0005979610723443329,2.4301472292820314e-11,,0.0
41,0,0.03285013511776924,1.9609025514455425e-09,3.0058653344156028e-09,0.0
41,1,0.0005162094021216035,2.3599591031375766e-11,2.8853794908911823e-09,0.0
41,2,0.0007011956768110394,3.291340811006904e-11,,0.0
42,0,0.03232671692967415,1.8866990192378807e-09,2.691199929572008e-09,0.0
42,1,0.000544582842849195,2.1268663913387442e-11,3.0614633050873863e-09,0.0
42,2,0.0008191225933842361,3.7238843952902556e-11,,0.0
43,0,0.03245040774345398,1.9238051152115077e-09,2.824840583670607e-09,0.0
43,1,0.0005453341291286051,2.4439721080238286e-11,3.139179360900357e-09,0.0
43,2,0.0008153714006766677,3.826612290924736e-11,,0.0
44,0,0.03132615610957146,1.869723931235967e-09,2.462543058356914e-09,0.0
44,1,0.0004927704576402903,2.0453010812770955e-11,2.6934143804169253e-09,0.0
44,2,0.0010996346827596426,5.433933858434159e-11,,0.0
45,0,0.03088272176682949,1.7632889592889e-09,2.4009780830169802e-09,0.0
45,1,0.0005284332437440753,2.2054641099500394e-11,2.898445039534181e-09,0.0
45,2,0.0007424139184877276,3.337313411733156e-11,,0.0
46,0,0.030408110469579697,1.8035217763667788e-09,2.719280356444642e-09,0.0
46,1,0.0006630278658121824,3.284593430574745e-11,2.7455862028347156e-09,0.0
46,2,0.001041462062858045,5.241248754450645e-11,,0.0
47,0,0.0336412750184536,2.021037559529759e-09,2.976960677969487e-09,0.0
47,1,0.0005154179525561631,2.564935416837777e-11,3.0923494875878532e-09,0.0
47,2,0.0009725885465741158,4.282433782587525e-11,,0.0
48,0,0.032778941094875336,1.9603909606757952e-09,3.0377391713187762e-09,0.0
48,1,0.0006114151328802109,2.7735839666642725e-11,2.941302756909181e-09,0.0
48,2,0.001144505338743329,5.2913236292528865e-11,,0.0
49,0,0.03160986304283142,1.8707622118085965e-09,2.424566547531981e-09,0.0
49,1,0.0005459074745886028,2.7218522574701254e-11,2.7518238798762695e-09,0.0
49,2,0.0008390116854570806,3.2061079485723454e-11,,0.0
50,0,0.030269116163253784,1.8282485525489278e-09,2.359995976419782e-09,0.0
50,1,0.0005044406279921532,2.1457309887229492e-11,2.861442860435659e-09,0.0
50,2,0.0007092279847711325,2.9420601371787924e-11,,0.0
51,0,0.03186555579304695,1.844725927568902e-09,2.705274226855181e-09,0.0
51,1,0.0005599578726105392,2.463429460419775e-11,2.964458678533788e-09,0.0
51,2,0.0007155737257562578,3.30656162172982e-11,,0.0
52,0,0.032096415758132935,1.898234680552946e-09,2.830912393392282e-09,0.0
52,1,0.0005244716885499656,2.161767986841312e-11,2.745582206031827e-09,0.0
52,2,0.0009442944428883493,4.571201403513747e-11,,0.0
53,0,0.03178957477211952,1.8758479214397994e-09,2.4157416067538406e-09,0.0
53,1,0.0005123140872456133,2.4928651157218873e-11,2.6079229886732946e-09,0.0
53,2,0.0009798159589990973,4.733656522315499e-11,,0.0
54,0,0.032719045877456665,1.9760886260655752e-09,2.9321514105618007e-09,0.0
54,1,0.0005497775855474174,2.554335215565473e-11,2.813600241680092e-09,0.0
54,2,0.000937905628234148,4.3814566558220136e-11,,0.0
55,0,0.03234463557600975,2.054785674943105e-09,2.596957093814467e-09,0.0
55,1,0.000511430436745286,2.39330343737576e-11,2.7390756329737087e-09,0.0
55,2,0.0009558750316500664,4.4027479578767625e-11,,0.0
56,0,0.03141440823674202,1.9203616474783303e-09,2.925729214453554e-09,0.0
56,1,0.0005258778110146523,2.3576736049579772e-11,2.6805679897989876e-09,0.0
56,2,0.0007528139394707978,3.380401167318858e-11,,0.0
57,0,0.033040404319763184,1.9467865097766435e-09,2.8555264819374315e-09,0.0
57,1,0.0005155826220288873,2.3626135770005163e-11,2.795597975335795e-09,0.0
57,2,0.0006261744420044124,3.0510972220954e-11,,0.0
58,0,0.03175373747944832,1.8777635002464876e-09,2.783564490016488e-09,0.0
58,1,0.0006031407392583787,2.712934737969519e-11,2.5678341675217098e-09,0.0
58,2,0.0009819850092753768,4.342578727167812e-11,,0.0
59,0,0.030850790441036224,1.9303740828036098e-09,2.5601840647482277e-09,0.0
59,1,0.0005428609438240528,2.5606829157087674e-11,2.7199194008176164e-09,0.0
59,2,0.000739656446967274,3.095588368973168e-11,,0.0
60,0,0.03326407074928284,2.037570778767872e-09,2.781431529541578e-09,0.0
60,1,0.0005814970936626196,2.2755507547711495e-11,3.002950110797542e-09,0.0
60,2,0.0010461967904120684,5.347468301497571e-11,,0.0
61,0,0.03061191737651825,1.994547860206808e-09,2.5667512559834904e-09,0.0
61,1,0.000733222346752882,3.8114688488688486e-11,2.665694998071899e-09,0.0
61,2,0.0016348446952179074,8.309224142077909e-11,,0.0
62,0,0.03196283057332039,1.9556372077289552e-09,3.052540442638474e-09,0.0
62,1,0.000675467774271965,3.463532585734619e-11,2.698930190447868e-09,0.0
62,2,0.0018690808210521936,8.566145709432149e-11,,0.0
63,0,0.032206594944000244,1.9801509321126787e-09,2.8329720791475665e-09,0.0
63,1,0.0006242017261683941,3.038388290965699e-11,2.8804623131151175e-09,0.0
63,2,0.0013243557186797261,6.062236823645151e-11,,0.0
64,0,0.031843408942222595,1.9530741468543056e-09,2.8517743722034083e-09,0.0
64,1,0.0005581181612797081,2.338216599506726e-11,2.976441981772382e-09,0.0
64,2,0.0008396447519771755,3.818935792598843e-11,,0.0
65,0,0.031298767775297165,1.9050365729356145e-09,2.792580167110259e-09,0.0
65,1,0.0005813480238430202,2.8379687488921945e-11,2.8208604341273258e-09,0.0
65,2,0.0008589813951402903,4.001358966387869e-11,,0.0
66,0,0.032018475234508514,1.882213940263e-09,3.1303517555869576e-09,0.0
66,1,0.0006521503673866391,3.180878477282434e-11,2.699644285897307e-09,0.0
66,2,0.000977167161181569,5.343723033512937e-11,,0.0
67,0,0.03137870132923126,1.971667273892308e-09,2.623382622246595e-09,0.0
67,1,0.0006681992090307176,3.140361581888129e-11,2.6706314937285924e-09,0.0
67,2,0.00151389604434371,7.183661998588775e-11,,0.0
68,0,0.030181417241692543,1.9435488773922316e-09,2.631563855715058e-09,0.0
68,1,0.0006103395135141909,3.039567555984668e-11,2.6312976242337527e-09,0.0
68,2,0.001072881743311882,4.785657981010161e-11,,0.0
69,0,0.030979564413428307,1.9130417250323717e-09,2.6740751835063747e-09,0.0
69,1,0.0006440965225920081,2.7064883320604416e-11,2.6765847316312374e-09,0.0
69,2,0.0009223787928931415,5.604757283284023e-11,,0.0
70,0,0.03172837570309639,2.0035497705350735e-09,2.849717350983383e-09,0.0
70,1,0.0006466972990892828,2.749416493086354e-11,3.0584683674561575e-09,0.0
70,2,0.0008732576388865709,3.900632247755276e-11,,0.0
71,0,0.03230274096131325,1.945378524936814e-09,2.7861486451286055e-09,0.0
71,1,0.0006079762824811041,2.5807479417383483e-11,2.796069598076656e-09,0.0
71,2,0.0010563564719632268,5.062627747576265e-11,,0.0
72,0,0.0321500189602375,2.080176697560887e-09,2.8230211501778513e-09,0.0
72,1,0.0005850369343534112,2.65962824680388e-11,2.6229216576467707e-09,0.0
72,2,0.0009467374184168875,4.49557092940811e-11,,0.0
73,0,0.03342117741703987,1.9434567288811877e-09,2.8474620439311593e-09,0.0
73,1,0.0007235181983560324,3.175518528686361e-11,2.8721935940723142e-09,0.0
73,2,0.0007204382563941181,3.3320627507160694e-11,,0.0
74,0,0.03352245315909386,2.0602608508113462e-09,2.538043331057338e-09,0.0
74,1,0.0006424422608688474,2.582966479591775e-11,3.196223952173227e-09,0.0
74,2,0.0010947384871542454,5.140479014675847e-11,,0.0
75,0,0.03083057329058647,1.8901358256329104e-09,2.490727846193863e-09,0.0
75,1,0.0007717651897110045,3.652898816763894e-11,2.553281586159528e-09,0.0
75,2,0.0015409945044666529,7.810523755535925e-11,,0.0
76,0,0.033030278980731964,1.9897448133576745e-09,3.04713232424092e-09,0.0
76,1,0.0006836829124949872,3.076629229159522e-11,3.0309088572266774e-09,0.0
76,2,0.0015012547373771667,8.144370594598271e-11,,0.0
77,0,0.030769450590014458,1.8105328347672867e-09,2.557150269311137e-09,0.0
77,1,0.0006487042992375791,3.088328551226205e-11,2.698408607670899e-09,0.0
77,2,0.0012608682736754417,5.2752975598924223e-11,,0.0
78,0,0.032840143889188766,2.0622086260857486e-09,2.7597415463986863e-09,0.0
78,1,0.0006194905145093799,2.836816892504146e-11,2.9894278164022126e-09,0.0
78,2,0.0011068552266806364,5.282798851147241e-11,,0.0
79,0,0.031861811876297,1.9141477292095033e-09,2.7213562514560863e-09,0.0
79,1,0.0006213348242454231,3.2766719892940444e-11,2.8988818012720685e-09,0.0
79,2,0.000698529533110559,3.0563950675910334e-11,,0.0
80,0,0.03302972763776779,2.119806108424882e-09,2.843725033230271e-09,0.0
80,1,0.0006967553636059165,3.006443358155586e-11,3.042834650912596e-09,0.0
80,2,0.0009267242276109755,5.0434687676181866e-11,,0.0
81,0,0.034231383353471756,2.148429434356558e-09,3.3299236701367363e-09,0.0
81,1,0.0007789721712470055,3.492018132988939e-11,3.148437954791916e-09,0.0
81,2,0.0013932590372860432,7.248856376262935e-11,,0.0
82,0,0.034088436514139175,2.24878493604308e-09,2.9372255738735475e-09,0.0
82,1,0.0006922982283867896,3.206002130440311e-11,3.2049873865958034e-09,0.0
82,2,0.001039983588270843,5.7127295949310763e-11,,0.0
83,0,0.031166302040219307,1.8003912805042432e-09,2.5066013709107438e-09,0.0
83,1,0.0008666888461448252,4.019127045062909e-11,2.8970625898239177e-09,0.0
83,2,0.0018287110142409801,8.878515284083122e-11,,0.0
84,0,0.03400986269116402,2.091900208611719e-09,3.158878270070886e-09,0.0
84,1,0.0007846060325391591,3.170233867089145e-11,3.1886235873912483e-09,0.0
84,2,0.0015610535629093647,8.41373776205856e-11,,0.0
85,0,0.03355107083916664,2.2118795683923054e-09,3.1013167589577506e-09,0.0
85,1,0.0007911782013252378,4.13499859353017e-11,3.241904522610639e-09,0.0
85,2,0.0013902569189667702,6.089206916470857e-11,,0.0
86,0,0.03221737593412399,2.110100538743609e-09,2.768423046362045e-09,0.0
86,1,0.0006946445791982114,3.344889989986832e-11,3.0090288039019697e-09,0.0
86,2,0.0010328631615266204,4.4020089656759964e-11,,0.0
87,0,0.03328075632452965,2.0736454775516222e-09,2.9404694235068973e-09,0.0
87,1,0.0008767002145759761,4.340736103891629e-11,3.2431477503536144e-09,0.0
87,2,0.0010112267918884754,4.973331121926883e-11,,0.0
88,0,0.03353052958846092,2.0812869205855122e-09,3.0890883184753193e-09,0.0
88,1,0.0007725516916252673,3.586802382882226e-11,3.23300164417617e-09,0.0
88,2,0.0012430291390046477,6.377302158577791e-11,,0.0
89,0,0.03391428291797638,2.190102543764283e-09,3.1942624101333195e-09,0.0
89,1,0.000808972807135433,3.871778245234658e-11,3.0689473184963845e-09,0.0
89,2,0.0014481539838016033,6.177890837788524e-11,,0.0
90,0,0.03506608307361603,2.385760922152258e-09,3.333602949240344e-09,0.0
90,1,0.0007159348460845649,3.12999209883813e-11,3.1639129094429563e-09,0.0
90,2,0.0011129474733024836,6.026008164683461e-11,,0.0
91,0,0.03590279072523117,2.26830398908362e-09,2.947499133654219e-09,0.0
91,1,0.0005895273061469197,2.6275063721992176e-11,3.2565168339715456e-09,0.0
91,2,0.0014897892251610756,7.04339225832129e-11,,0.0
92,0,0.034677181392908096,2.0756705243485385e-09,2.8270390473039697e-09,0.0
92,1,0.0006605788948945701,2.7852732273347947e-11,3.2617983869442924e-09,0.0
92,2,0.0009962376207113266,4.5801171882908776e-11,,0.0
93,0,0.033531926572322845,2.177135138836661e-09,3.074076104780943e-09,0.0
93,1,0.0007160095265135169,3.190826075583075e-11,3.0538120920908796e-09,0.0
93,2,0.0009939639130607247,6.101685823267644e-11,,0.0
94,0,0.032650478184223175,2.0506496500871663e-09,3.0607221201961465e-09,0.0
94,1,0.0007899560150690377,3.91902031660063e-11,3.0599811573495117e-09,0.0
94,2,0.0011734747095033526,6.085758286200615e-11,,0.0
95,0,0.03387171030044556,2.265853948912877e-09,3.0357920621781886e-09,0.0
95,1,0.000687665306031704,3.003254936406741e-11,3.1503413211453335e-09,0.0
95,2,0.0009211208089254797,5.192784049978805e-11,,0.0
96,0,0.03413883596658707,2.261820064575204e-09,3.134780879321397e-09,0.0
96,1,0.0006235388573259115,2.889511026282765e-11,3.0521059013466356e-09,0.0
96,2,0.0006936166319064796,3.1468619376973095e-11,,0.0
97,0,0.03436223790049553,2.3870130316794302e-09,2.876175519972435e-09,0.0
97,1,0.0006219405913725495,2.9382062755045624e-11,3.5075355953040344e-09,0.0
97,2,0.0006486502243205905,2.797566865664347e-11,,0.0
98,0,0.033578380942344666,2.1191657317842783e-09,3.299009065926839e-09,0.0
98,1,0.0006247651763260365,3.109506402365625e-11,3.126710224066187e-09,0.0
98,2,0.0008895414066500962,3.974109236137835e-11,,0.0
99,0,0.03421643748879433,2.074208582669712e-09,2.764647177855295e-09,0.0
99,1,0.0007374837878160179,3.5811308779498674e-11,3.3658149600768184e-09,0.0
99,2,0.0011578144039958715,5.7591594687655956e-11,,0.0
100,0,0.034448832273483276,2.167275248154965e-09,3.3738920546255713e-09,0.0
100,1,0.0007777639548294246,3.7171040551120527e-11,3.2828424423314573e-09,0.0
100,2,0.001399904489517212,6.668910562668273e-11,,0.0
101,0,0.03507085517048836,2.162479972867004e-09,3.0127498273913034e-09,0.0
101,1,0.0006837585824541748,2.9621034791649237e-11,3.2382636572236834e-09,0.0
101,2,0.0009550659451633692,4.184291801934137e-11,,0.0
102,0,0.03450616076588631,2.1300887720343553e-09,2.8437801002922924e-09,0.0
102,1,0.0006872692028991878,2.8166370277804553e-11,3.119107194748949e-09,0.0
102,2,0.0007618133677169681,3.424656738748588e-11,,0.0
103,0,0.03563099354505539,2.258742526350943e-09,3.356282141098177e-09,0.0
103,1,0.0007583351107314229,4.1679756868084894e-11,3.339251541945032e-09,0.0
103,2,0.0010446354281157255,4.6048376917129374e-11,,0.0
104,0,0.03334668278694153,2.063400783569591e-09,2.784855457349522e-09,0.0
104,1,0.0007939366041682661,3.559580755152503e-11,2.9702553749899607e-09,0.0
104,2,0.001074927276931703,5.8076418674168906e-11,,0.0
105,0,0.036883480846881866,2.410883492842686e-09,3.177109242358256e-09,0.0
105,1,0.0008102752035483718,3.995270780876581e-11,3.6634926203760187e-09,0.0
105,2,0.0008797451737336814,4.762502198163432e-11,,0.0
106,0,0.03326505050063133,2.1015269524582436e-09,2.6936390895571094e-09,0.0
106,1,0.0007137891952879727,3.443109686251944e-11,3.4125204884105642e-09,0.0
106,2,0.0010350625962018967,5.153019677628379e-11,,0.0
107,0,0.0367884561419487,2.3101707213868394e-09,3.317434771332728e-09,0.0
107,1,0.0007415933068841696,3.513761157036832e-11,3.873480203253621e-09,0.0
107,2,0.001662429771386087,8.585952782080852e-11,,0.0
108,0,0.03690363094210625,2.360511563992418e-09,3.7803551400372726e-09,0.0
108,1,0.0006159971235319972,2.6524083276968646e-11,3.530731040868318e-09,0.0
108,2,0.0010020432528108358,5.631108079828806e-11,,0.0
109,0,0.038534387946128845,2.516754360470941e-09,3.1419706836288697e-09,0.0
109,1,0.0007795189740136266,4.353577567894895e-11,3.658048530752467e-09,0.0
109,2,0.0009147092932835221,4.416380108840379e-11,,0.0
110,0,0.03756432235240936,2.360745154916799e-09,3.2612998968062357e-09,0.0
110,1,0.0008920080726966262,4.384036536575486e-11,3.780440405165564e-09,0.0
110,2,0.001106163370423019,5.3509870145962424e-11,,0.0
111,0,0.041180044412612915,2.630633710865027e-09,3.890356481406343e-09,0.0
111,1,0.0007742490852251649,3.5247832430584936e-11,4.0040122328832695e-09,0.0
111,2,0.0010166591964662075,4.638667921996742e-11,,0.0
112,0,0.03722122684121132,2.261105969125765e-09,3.48885942358379e-09,0.0
112,1,0.0008068328606896102,3.7624181548068236e-11,3.467924836186853e-09,0.0
112,2,0.0013837030855938792,6.834571797398326e-11,,0.0
113,0,0.03798997029662132,2.4769009066005765e-09,3.750483479336708e-09,0.0
113,1,0.0007164804264903069,3.707470441760563e-11,3.8498577659140665e-09,0.0
113,2,0.0011797513579949737,5.366462135780736e-11,,0.0
114,0,0.03680920600891113,2.1982786702068324e-09,3.103071577470473e-09,0.0
114,1,0.0007121928501874208,3.436357795538747e-11,3.7202450009488075e-09,0.0
114,2,0.0012002302100881934,7.223970033276572e-11,,0.0
115,0,0.03653298690915108,2.211439920074554e-09,3.2312528208677804e-09,0.0
115,1,0.0008943642606027424,4.096328137803695e-11,3.5071949788800794e-09,0.0
115,2,0.0011131215142086148,4.548645834989706e-11,,0.0
116,0,0.03316861018538475,2.0162718161742532e-09,3.0306954723613444e-09,0.0
116,1,0.0008302521309815347,3.874104162471248e-11,3.2888065604197436e-09,0.0
116,2,0.001670575002208352,7.048284178523545e-11,,0.0
117,0,0.03692527487874031,2.3036246243890446e-09,3.2130336169444718e-09,0.0
117,1,0.0007728890050202608,4.001624726024389e-11,3.5596954273131587e-09,0.0
117,2,0.0011795415775850415,5.6557158262249274e-11,,0.0
118,0,0.03342774510383606,2.2295614243716955e-09,2.9043938365447275e-09,0.0
118,1,0.000780995178502053,3.3752622224936246e-11,2.9834354986491007e-09,0.0
118,2,0.0011980870040133595,5.6161471306825916e-11,,0.0
119,0,0.033485814929008484,2.2204245109236354e-09,2.966365819645489e-09,0.0
119,1,0.0007428696262650192,3.433434786481726e-11,3.33982042022285e-09,0.0
119,2,0.0010355761041864753,5.4001567106887194e-11,,0.0
120,0,0.0372665673494339,2.198380588680493e-09,3.1806581812787726e-09,0.0
120,1,0.0008056873339228332,3.907965270832925e-11,3.6191778463035007e-09,0.0
120,2,0.00120266224257648,5.178089207413805e-11,,0.0
121,0,0.03628667816519737,2.3954764838407527e-09,3.882638210939149e-09,0.0
121,1,0.0007039199117571115,2.9850018290478175e-11,3.878505072663074e-09,0.0
121,2,0.0008988051558844745,4.780262990999873e-11,,0.0
122,0,0.03656480461359024,2.331272064282075e-09,3.2040594621918217e-09,0.0
122,1,0.0006820622365921736,2.957502992506633e-11,3.468345610713186e-09,0.0
122,2,0.0009249973809346557,3.5619743266046555e-11,,0.0
123,0,0.03816470876336098,2.4403874476774945e-09,3.4324523223716596e-09,0.0
123,1,0.0007332117529585958,3.6072620585025916e-11,3.893127598075807e-09,0.0
123,2,0.0008846649434417486,4.765285041563594e-11,,0.0
124,0,0.03667905926704407,2.4087756234081326e-09,3.6052540952624668e-09,0.0
124,1,0.0007299596327356994,3.219327582293374e-11,3.5975384893305318e-09,0.0
124,2,0.0010161161189898849,4.530954084147609e-11,,0.0
