step,theta_min,theta_max,theta_mean,c_min,c_max,c_mean,c_std,mu_d,boundary_hits,theta_grad_norm,theta_grad_finite,anchor_loss
0,0.05623487010598183,0.05623487010598183,0.05623487010598183,1.0140550136566162,1.0140550136566162,1.0140550136566162,0.0,0.05765988677740097,0,3.281387535025715e-07,True,0.0
5,0.056316494941711426,0.056316494941711426,0.056316494941711426,1.0140753984451294,1.0140753984451294,1.0140753984451294,0.0,0.06918986141681671,0,1.1086420272476971e-05,True,4.040769940871769e-10
10,0.05614156275987625,0.05614156275987625,0.05614156275987625,1.0140316486358643,1.0140316486358643,1.0140316486358643,0.0,0.09711994975805283,0,6.258137545955833e-06,True,5.308840034246032e-10
15,0.05598950386047363,0.05598950386047363,0.05598950386047363,1.013993740081787,1.013993740081787,1.013993740081787,0.0,0.17182010412216187,0,1.520108799013542e-05,True,3.651310143126807e-09
20,0.05467301979660988,0.05467301979660988,0.05467301979660988,1.0136648416519165,1.0136648416519165,1.0136648416519165,0.0,0.2740141749382019,0,7.704216841375455e-05,True,1.4810053983183025e-07
25,0.05242786929011345,0.05242786929011345,0.05242786929011345,1.01310396194458,1.01310396194458,1.01310396194458,0.0,0.3111730217933655,0,5.112212966196239e-05,True,8.804261710793071e-07
30,0.05275221914052963,0.05275221914052963,0.05275221914052963,1.0131850242614746,1.0131850242614746,1.0131850242614746,0.0,0.18845227360725403,0,0.00036476177047006786,True,7.366779186668282e-07
35,0.055631641298532486,0.055631641298532486,0.055631641298532486,1.013904333114624,1.013904333114624,1.013904333114624,0.0,0.11201824992895126,0,6.529263191623613e-05,True,2.2082780049004214e-08
40,0.058102671056985855,0.058102671056985855,0.058102671056985855,1.014521598815918,1.014521598815918,1.014521598815918,0.0,0.0935262069106102,0,0.00023093936033546925,True,2.1161179120099405e-07
45,0.05754390358924866,0.05754390358924866,0.05754390358924866,1.014382004737854,1.014382004737854,1.014382004737854,0.0,0.08275284618139267,0,0.0001614962238818407,True,1.0394634841759398e-07
50,0.055530816316604614,0.055530816316604614,0.055530816316604614,1.0138790607452393,1.0138790607452393,1.0138790607452393,0.0,0.08274905383586884,0,8.319799235323444e-05,True,3.01125240298461e-08
55,0.05520471930503845,0.05520471930503845,0.05520471930503845,1.013797640800476,1.013797640800476,1.013797640800476,0.0,0.07542026787996292,0,0.00012356886873021722,True,6.443350741847098e-08
60,0.05645930767059326,0.05645930767059326,0.05645930767059326,1.014111042022705,1.014111042022705,1.014111042022705,0.0,0.07325777411460876,0,2.860601307475008e-05,True,3.05264125088911e-09
65,0.05685526505112648,0.05685526505112648,0.05685526505112648,1.0142099857330322,1.0142099857330322,1.0142099857330322,0.0,0.0801253691315651,0,7.683446165174246e-05,True,2.335161042310574e-08
70,0.056043047457933426,0.056043047457933426,0.056043047457933426,1.0140070915222168,1.0140070915222168,1.0140070915222168,0.0,0.09588997066020966,0,2.075357042485848e-05,True,2.233416118713194e-09
75,0.05586292967200279,0.05586292967200279,0.05586292967200279,1.0139620304107666,1.0139620304107666,1.0139620304107666,0.0,0.10847760736942291,0,4.159811942372471e-05,True,8.40869773810482e-09
80,0.0564085952937603,0.0564085952937603,0.0564085952937603,1.0140984058380127,1.0140984058380127,1.0140984058380127,0.0,0.11464044451713562,0,2.5386114430148154e-05,True,1.8309511684577728e-09
