bucket_name,bucket_value,n,R@5,R@10,R@20,NDCG@5,NDCG@10,NDCG@20,hit_rate_top20
history_length,1-5,12556,0.0946,0.1166,0.1424,0.0810,0.0880,0.0945,0.1424
history_length,11-15,2003,0.0534,0.0614,0.0804,0.0442,0.0468,0.0515,0.0804
history_length,16-20,791,0.0341,0.0442,0.0556,0.0264,0.0295,0.0323,0.0556
history_length,6-10,8652,0.0750,0.0927,0.1143,0.0628,0.0685,0.0740,0.1143
history_length,nan,770,0.0325,0.0442,0.0597,0.0269,0.0306,0.0344,0.0597
L3_PAD,PAD=0,24719,0.0795,0.0982,0.1212,0.0673,0.0732,0.0791,0.1212
L3_PAD,non-PAD,53,0.5660,0.5849,0.6226,0.5040,0.5099,0.5185,0.6226
L0_freq_quantile,[0,100),24028,0.0780,0.0944,0.1154,0.0669,0.0722,0.0775,0.1154
L0_freq_quantile,[100,200),640,0.1891,0.2766,0.3578,0.1272,0.1552,0.1761,0.3578
L0_freq_quantile,[200,1000),104,0.0096,0.1154,0.2404,0.0041,0.0378,0.0706,0.2404
L2_uniqueness,[0.10,0.20),5,0.0000,0.0000,0.2000,0.0000,0.0000,0.0455,0.2000
L2_uniqueness,[0.20,1.0],24767,0.0806,0.0992,0.1222,0.0682,0.0742,0.0800,0.1222
item_popularity,[0,10),24772,0.0806,0.0992,0.1222,0.0682,0.0742,0.0800,0.1222
