layer,c=-10.0,c=-5.0,c=-2.0,c=-1.0,c=-0.5,c=-0.1,c=-0.01,c=0.0
L0,0.046063,0.044469,0.043496,0.043169,0.043005,0.042873,0.042843,0.042840
L1,0.044488,0.044902,0.045168,0.045260,0.045306,0.045344,0.045352,0.045353
L2,0.049560,0.049721,0.049822,0.049856,0.049874,0.049887,0.049891,0.049891
