layer,c,k,spearman,kNN_overlap,trustworthiness
L0,0.0,5,0.722130,0.643750,0.643750
L0,0.0,10,0.722130,0.710938,0.710938
L0,0.01,5,0.722108,0.643750,0.643750
L0,0.01,10,0.722108,0.712500,0.712500
L0,0.05,5,0.722039,0.643750,0.643750
L0,0.05,10,0.722039,0.712500,0.712500
L0,0.1,5,0.721939,0.643750,0.643750
L0,0.1,10,0.721939,0.712500,0.712500
L0,0.5,5,0.721179,0.643750,0.643750
L0,0.5,10,0.721179,0.710938,0.710938
L0,1.0,5,0.720238,0.643750,0.643750
L0,1.0,10,0.720238,0.712500,0.712500
L0,2.0,5,0.718405,0.643750,0.643750
L0,2.0,10,0.718405,0.706250,0.706250
L0,5.0,5,0.712530,0.650000,0.650000
L0,5.0,10,0.712530,0.706250,0.706250
L0,10.0,5,0.702623,0.634375,0.634375
L0,10.0,10,0.702623,0.707812,0.707812
L1,0.0,5,0.536790,0.387500,0.387500
L1,0.0,10,0.536790,0.493750,0.493750
L1,0.01,5,0.536811,0.387500,0.387500
L1,0.01,10,0.536811,0.493750,0.493750
L1,0.05,5,0.536911,0.387500,0.387500
L1,0.05,10,0.536911,0.493750,0.493750
L1,0.1,5,0.537033,0.387500,0.387500
L1,0.1,10,0.537033,0.493750,0.493750
L1,0.5,5,0.537951,0.387500,0.387500
L1,0.5,10,0.537951,0.495312,0.495312
L1,1.0,5,0.539095,0.387500,0.387500
L1,1.0,10,0.539095,0.495312,0.495312
L1,2.0,5,0.541641,0.387500,0.387500
L1,2.0,10,0.541641,0.493750,0.493750
L1,5.0,5,0.548638,0.393750,0.393750
L1,5.0,10,0.548638,0.498437,0.498437
L1,10.0,5,0.559617,0.393750,0.393750
L1,10.0,10,0.559617,0.509375,0.509375
L2,0.0,5,0.463176,0.293750,0.293750
L2,0.0,10,0.463176,0.400000,0.400000
L2,0.01,5,0.463190,0.293750,0.293750
L2,0.01,10,0.463190,0.400000,0.400000
L2,0.05,5,0.463230,0.293750,0.293750
L2,0.05,10,0.463230,0.400000,0.400000
L2,0.1,5,0.463307,0.293750,0.293750
L2,0.1,10,0.463307,0.400000,0.400000
L2,0.5,5,0.463824,0.293750,0.293750
L2,0.5,10,0.463824,0.400000,0.400000
L2,1.0,5,0.464440,0.296875,0.296875
L2,1.0,10,0.464440,0.401563,0.401563
L2,2.0,5,0.465622,0.300000,0.300000
L2,2.0,10,0.465622,0.403125,0.403125
L2,5.0,5,0.469319,0.303125,0.303125
L2,5.0,10,0.469319,0.406250,0.406250
L2,10.0,5,0.475341,0.312500,0.312500
L2,10.0,10,0.475341,0.407813,0.407813
