layer,c=0.0,c=0.01,c=0.05,c=0.1,c=0.5,c=1.0,c=2.0,c=5.0,c=10.0
L0,0.042840,0.042844,0.042857,0.042873,0.043004,0.043167,0.043494,0.044471,0.046063
L1,0.045353,0.045352,0.045348,0.045343,0.045306,0.045260,0.045168,0.044902,0.044488
L2,0.049891,0.049891,0.049889,0.049888,0.049874,0.049856,0.049822,0.049721,0.049560
