metric,L0,L1,L2
nn_mean,0.10440792888402939,0.07674218714237213,0.06409566104412079
nn_median,0.10436009615659714,0.07591767609119415,0.06361959874629974
nn_std,0.014563475735485554,0.008002614602446556,0.004179459530860186
nn_q05,0.08406047523021698,0.06271088868379593,0.05700260400772095
nn_q95,0.12706077098846436,0.08956901729106903,0.07185105234384537
second_nn_mean,0.11558469384908676,0.07975010573863983,0.06618697941303253
second_nn_median,0.11459341645240784,0.07920357584953308,0.06580778956413269
margin_mean,1.114950180053711,1.0409228801727295,1.0335570573806763
margin_median,1.0784263610839844,1.0255048274993896,1.025428056716919
margin_std,0.12828204035758972,0.04671033099293709,0.031041577458381653
local_density_5_mean,8.470868110656738,12.458993911743164,14.964776992797852
local_density_10_mean,7.81771183013916,12.04875373840332,14.568184852600098
