metric,L0,L1,L2
mean,0.19216176867485046,0.10587435960769653,0.08559270948171616
std,0.039232317358255386,0.013604950159788132,0.009116974659264088
q05,0.125321626663208,0.08427415788173676,0.07165858149528503
q25,0.16595478355884552,0.09637406468391418,0.07893083989620209
q50,0.19206468760967255,0.10542771965265274,0.08484405279159546
q75,0.21858355402946472,0.1151437908411026,0.09157680720090866
q95,0.2564605176448822,0.1288718283176422,0.10168493539094925
min,0.08854884654283524,0.0662120059132576,0.06266812235116959
max,0.3183058202266693,0.14733655750751495,0.11348215490579605
n,2016,2016,2016
