id,label,sid_dim,downstream_R5,downstream_R10,mckg_co_cluster_at_10_mean,mckg_co_cluster_at_10_std
Task85_m1_quasi_euclid,m=1 准欧氏 (κ≈-0.17),3,0.02,0.0288,0.370000,0.280236
Task85_m0_sphere,m=0 球面 (κ≈+0.85),3,0.0174,0.0262,0.235556,0.229212
