label,path,n,d,TC_G,Zador_d_eff,Zador_slope,norm_p50,norm_p99,norm_max,norm_tail_ratio
flan-t5_2048d,logs/task59_s1/runs/2026-07-20/04-05-08/pickle/merged_predictions_tensor.pt,11924,2048,4869.569603404447,nan,nan,1.2294065952301025,1.316994071006775,1.4003725051879883,1.0712436437606812
sentence-t5_768d,logs/task60_s1/runs/2026-07-20/05-53-06/pickle/merged_predictions_tensor.pt,11924,768,1457.579542837886,19.354976008324968,-0.10333260031630932,0.6621245741844177,0.9151833653450012,1.1160317659378052,1.3821921348571777
hybrid_2816d,logs/task61_s1/merged_predictions_2816d.pt,11924,2816,6609.906701021571,nan,nan,0.6151831150054932,0.866861879825592,1.2251633405685425,1.4091119766235352
