layer,c=0.0,c=0.01,c=0.05,c=0.1,c=0.5,c=1.0,c=2.0,c=5.0,c=10.0
L0,0.038754,0.038757,0.038767,0.038779,0.038877,0.039000,0.039243,0.039953,0.041062
L1,0.022350,0.022350,0.022349,0.022347,0.022333,0.022317,0.022283,0.022184,0.022025
L2,0.020537,0.020537,0.020536,0.020535,0.020526,0.020515,0.020493,0.020428,0.020322
