layer,c,k,spearman,kNN_overlap,trustworthiness
L0,0.0,5,0.666576,0.620312,0.620312
L0,0.0,10,0.666576,0.660156,0.660156
L0,0.01,5,0.666563,0.620312,0.620312
L0,0.01,10,0.666563,0.660156,0.660156
L0,0.05,5,0.666509,0.620312,0.620312
L0,0.05,10,0.666509,0.660156,0.660156
L0,0.1,5,0.666440,0.620312,0.620312
L0,0.1,10,0.666440,0.660156,0.660156
L0,0.5,5,0.665886,0.620313,0.620313
L0,0.5,10,0.665886,0.660937,0.660937
L0,1.0,5,0.665179,0.621875,0.621875
L0,1.0,10,0.665179,0.660547,0.660547
L0,2.0,5,0.663686,0.621875,0.621875
L0,2.0,10,0.663686,0.659766,0.659766
L0,5.0,5,0.658855,0.628125,0.628125
L0,5.0,10,0.658855,0.656641,0.656641
L0,10.0,5,0.650027,0.617969,0.617969
L0,10.0,10,0.650027,0.653125,0.653125
L1,0.0,5,0.611205,0.217188,0.217188
L1,0.0,10,0.611205,0.305078,0.305078
L1,0.01,5,0.611225,0.217188,0.217188
L1,0.01,10,0.611225,0.305078,0.305078
L1,0.05,5,0.611307,0.217188,0.217188
L1,0.05,10,0.611307,0.305078,0.305078
L1,0.1,5,0.611408,0.217969,0.217969
L1,0.1,10,0.611408,0.305078,0.305078
L1,0.5,5,0.612222,0.217969,0.217969
L1,0.5,10,0.612222,0.304297,0.304297
L1,1.0,5,0.613232,0.217969,0.217969
L1,1.0,10,0.613232,0.305469,0.305469
L1,2.0,5,0.615229,0.218750,0.218750
L1,2.0,10,0.615229,0.308203,0.308203
L1,5.0,5,0.621045,0.220313,0.220313
L1,5.0,10,0.621045,0.310547,0.310547
L1,10.0,5,0.630228,0.225781,0.225781
L1,10.0,10,0.630228,0.315234,0.315234
L2,0.0,5,0.535721,0.199219,0.199219
L2,0.0,10,0.535721,0.281250,0.281250
L2,0.01,5,0.535733,0.199219,0.199219
L2,0.01,10,0.535733,0.281250,0.281250
L2,0.05,5,0.535781,0.199219,0.199219
L2,0.05,10,0.535781,0.281250,0.281250
L2,0.1,5,0.535840,0.199219,0.199219
L2,0.1,10,0.535840,0.281250,0.281250
L2,0.5,5,0.536314,0.198438,0.198438
L2,0.5,10,0.536314,0.282031,0.282031
L2,1.0,5,0.536902,0.198438,0.198438
L2,1.0,10,0.536902,0.282422,0.282422
L2,2.0,5,0.538068,0.198438,0.198438
L2,2.0,10,0.538068,0.283203,0.283203
L2,5.0,5,0.541532,0.200781,0.200781
L2,5.0,10,0.541532,0.285156,0.285156
L2,10.0,5,0.547129,0.203125,0.203125
L2,10.0,10,0.547129,0.288672,0.288672
