kappa,layer,c,distortion,spearman,kendall,nn_overlap_1,nn_overlap_5
0.01,L0,-1.0,0.05123542249202728,0.6161921620368958,0.4491068531934069,0.0033259422052651644,0.06792985285224754
0.01,L0,0.0,0.05123542249202728,0.6161921620368958,0.4491068531934069,0.0033259422052651644,0.06792985285224754
0.01,L0,0.01,0.05106896534562111,0.6162186861038208,0.44912381921975925,0.0033259422052651644,0.06792985285224754
0.01,L0,0.1,0.05108044296503067,0.6163501739501953,0.44919706413137134,0.0033259422052651644,0.06792985285224754
0.01,L0,0.5,0.05113894119858742,0.6168034076690674,0.44956271307694917,0.0033259422052651644,0.06792985285224754
0.01,L0,1.0,0.05123049393296242,0.617549479007721,0.4501539408783025,0.0033259422052651644,0.06792985285224754
0.01,L0,2.0,0.0514826774597168,0.6189591288566589,0.45134639408522265,0.0033259422052651644,0.06792985285224754
0.01,L0,5.0,0.05298275500535965,0.621504545211792,0.4531725148954603,0.0033259422052651644,0.06792985285224754
0.01,L0,10.0,0.0603526271879673,0.6172953248023987,0.44939214750714107,0.0033259422052651644,0.06792985285224754
0.01,L1,-1.0,0.0858025848865509,0.13120238482952118,0.08517628041688022,0.0018141502514481544,0.02590203587986293
0.01,L1,0.0,0.0858025848865509,0.13120238482952118,0.08517628041688022,0.0018141502514481544,0.02590203587986293
0.01,L1,0.01,0.08574502170085907,0.13120238482952118,0.08517628050557509,0.0018141502514481544,0.02590203587986293
0.01,L1,0.1,0.08574946224689484,0.13120530545711517,0.085176760559944,0.0018141502514481544,0.02590203587986293
0.01,L1,0.5,0.0857691839337349,0.13123293220996857,0.08519633978525215,0.0018141502514481544,0.02590203587986293
0.01,L1,1.0,0.08579392731189728,0.1312580555677414,0.08521922446234285,0.0018141502514481544,0.02590203587986293
0.01,L1,2.0,0.0858437567949295,0.1313239336013794,0.08525171926994116,0.0018141502514481544,0.02590203587986293
0.01,L1,5.0,0.08599594235420227,0.13154713809490204,0.08539574086799838,0.0018141502514481544,0.02590203587986293
0.01,L1,10.0,0.08625883609056473,0.13189050555229187,0.08562034403018036,0.0018141502514481544,0.02590203587986293
0.01,L2,-1.0,0.08004123717546463,0.06652871519327164,0.0454540870121613,0.0009070751257240772,0.008163676678089095
0.01,L2,0.0,0.08004123717546463,0.06652871519327164,0.0454540870121613,0.0009070751257240772,0.008163676678089095
0.01,L2,0.01,0.0800095945596695,0.06652820110321045,0.04545461005259544,0.0009070751257240772,0.008163676678089095
0.01,L2,0.1,0.08001206070184708,0.06653029471635818,0.04545552464870255,0.0009070751257240772,0.008163676678089095
0.01,L2,0.5,0.08002310991287231,0.06654318422079086,0.04546341910215582,0.0009070751257240772,0.008163676678089095
0.01,L2,1.0,0.08003696799278259,0.06655651330947876,0.04547200665927237,0.0009070751257240772,0.008163676678089095
0.01,L2,2.0,0.08006474375724792,0.06658466160297394,0.045492919013707334,0.0009070751257240772,0.008163676678089095
0.01,L2,5.0,0.0801490768790245,0.06667082011699677,0.04554932226450334,0.0009070751257240772,0.008163676678089095
0.01,L2,10.0,0.08029266446828842,0.06682110577821732,0.04565802617781617,0.0009070751257240772,0.008163676678089095
0.1,L0,-1.0,0.05150439590215683,0.6381365060806274,0.4749266026479027,0.0027212253771722317,0.07034872001612578
0.1,L0,0.0,0.05150439590215683,0.6381365060806274,0.4749266026479027,0.0027212253771722317,0.07034872001612578
0.1,L0,0.01,0.051318347454071045,0.6381456851959229,0.474931265830849,0.0027212253771722317,0.07034872001612578
0.1,L0,0.1,0.05134116858243942,0.6382617354393005,0.47501244920925245,0.0027212253771722317,0.07034872001612578
0.1,L0,0.5,0.05145422741770744,0.6390277743339539,0.4756911507435424,0.0027212253771722317,0.07034872001612578
0.1,L0,1.0,0.05162397772073746,0.6398946642875671,0.4763490042218388,0.0027212253771722317,0.07034872001612578
0.1,L0,2.0,0.05207149311900139,0.6414854526519775,0.47757518921092373,0.0027212253771722317,0.07034872001612578
0.1,L0,5.0,0.054624076932668686,0.6450127959251404,0.480128257830032,0.0027212253771722317,0.07034872001612578
0.1,L0,10.0,0.06792595982551575,0.6412093639373779,0.47597091351621246,0.0027212253771722317,0.07034872001612578
0.1,L1,-1.0,0.08706407248973846,0.14398124814033508,0.09744849022785143,0.002217294881120324,0.03063898407579117
0.1,L1,0.0,0.08706407248973846,0.14398124814033508,0.09744849022785143,0.002217294881120324,0.03063898407579117
0.1,L1,0.01,0.08700519055128098,0.1439812183380127,0.09744921569053434,0.002217294881120324,0.03063898407579117
0.1,L1,0.1,0.08701032400131226,0.14399303495883942,0.09745654302378247,0.002217294881120324,0.03063898407579117
0.1,L1,0.5,0.08703310787677765,0.14403922855854034,0.09748384927762314,0.002217294881120324,0.03063898407579117
0.1,L1,1.0,0.08706173300743103,0.14410153031349182,0.09752005119503376,0.002217294881120324,0.03063898407579117
0.1,L1,2.0,0.08711942285299301,0.1442059725522995,0.09759311009671696,0.002217294881120324,0.03063898407579117
0.1,L1,5.0,0.08729612827301025,0.14450287818908691,0.09777709246707493,0.002217294881120324,0.03063898407579117
0.1,L1,10.0,0.08760306239128113,0.14500115811824799,0.09810426329927824,0.002217294881120324,0.03063898407579117
0.1,L2,-1.0,0.08288579434156418,0.07610832899808884,0.05144658577676984,0.00040314451325684786,0.008365248941745616
0.1,L2,0.0,0.08288579434156418,0.07610832899808884,0.05144658577676984,0.00040314451325684786,0.008365248941745616
0.1,L2,0.01,0.08285433053970337,0.07610819488763809,0.05144669829080172,0.00040314451325684786,0.008365248941745616
0.1,L2,0.1,0.08285660296678543,0.07611320912837982,0.051449805969210435,0.00040314451325684786,0.008365248941745616
0.1,L2,0.5,0.08286663144826889,0.07613420486450195,0.051464817784434576,0.00040314451325684786,0.008365248941745616
0.1,L2,1.0,0.08287923038005829,0.07615747302770615,0.05148252083570459,0.00040314451325684786,0.008365248941745616
0.1,L2,2.0,0.08290454745292664,0.07620882242918015,0.05151892756466824,0.00040314451325684786,0.008365248941745616
0.1,L2,5.0,0.08298131823539734,0.07636620104312897,0.051627568824030724,0.00040314451325684786,0.008365248941745616
0.1,L2,10.0,0.08311217278242111,0.07661542296409607,0.051794960525709775,0.00040314451325684786,0.008365248941745616
0.5,L0,-1.0,0.04960980266332626,0.6403663158416748,0.4643721511903184,0.003426728304475546,0.07377544849828664
0.5,L0,0.0,0.04960980266332626,0.6403663158416748,0.4643721511903184,0.003426728304475546,0.07377544849828664
0.5,L0,0.01,0.0494069829583168,0.6403811573982239,0.4643815421688237,0.003426728304475546,0.07377544849828664
0.5,L0,0.1,0.04943707957863808,0.640504002571106,0.46450378181406066,0.003426728304475546,0.07377544849828664
0.5,L0,0.5,0.04958097264170647,0.6409898996353149,0.4649926647617616,0.003426728304475546,0.07377544849828664
0.5,L0,1.0,0.04978553578257561,0.6416468024253845,0.4655470079996845,0.003426728304475546,0.07377544849828664
0.5,L0,2.0,0.050286415964365005,0.6428034901618958,0.4665691079102835,0.003426728304475546,0.07377544849828664
0.5,L0,5.0,0.05275576561689377,0.6452110409736633,0.46901625524383966,0.003426728304475546,0.07377544849828664
0.5,L0,10.0,0.06286828964948654,0.6407012939453125,0.4658087908384245,0.003426728304475546,0.07377544849828664
0.5,L1,-1.0,0.08935984969139099,0.14610572159290314,0.10226196493468673,0.001713364152237773,0.032049989921386815
0.5,L1,0.0,0.08935984969139099,0.14610572159290314,0.10226196493468673,0.001713364152237773,0.032049989921386815
0.5,L1,0.01,0.0893024131655693,0.1461077332496643,0.10226282276055329,0.001713364152237773,0.032049989921386815
0.5,L1,0.1,0.08930718153715134,0.14611832797527313,0.1022685519679178,0.001713364152237773,0.032049989921386815
0.5,L1,0.5,0.08932854235172272,0.1461757868528366,0.10230443909479109,0.001713364152237773,0.032049989921386815
0.5,L1,1.0,0.08935537934303284,0.14622002840042114,0.10233239836709475,0.001713364152237773,0.032049989921386815
0.5,L1,2.0,0.0894094705581665,0.1463165283203125,0.10238420114625953,0.001713364152237773,0.032049989921386815
0.5,L1,5.0,0.08957529067993164,0.14660589396953583,0.10254098394040659,0.001713364152237773,0.032049989921386815
0.5,L1,10.0,0.08986379206180573,0.1471056044101715,0.10282638063693722,0.001713364152237773,0.032049989921386815
0.5,L2,-1.0,0.08232271671295166,0.07015249133110046,0.04763179775372669,0.0008062890265136957,0.00937311026002822
0.5,L2,0.0,0.08232271671295166,0.07015249133110046,0.04763179775372669,0.0008062890265136957,0.00937311026002822
0.5,L2,0.01,0.08229517191648483,0.07015277445316315,0.047632507489824456,0.0008062890265136957,0.00937311026002822
0.5,L2,0.1,0.08229683339595795,0.07015522569417953,0.047634577217229045,0.0008062890265136957,0.00937311026002822
0.5,L2,0.5,0.08230426907539368,0.07016995549201965,0.047644681858296956,0.0008062890265136957,0.00937311026002822
0.5,L2,1.0,0.08231352269649506,0.07019206881523132,0.04766116305544659,0.0008062890265136957,0.00937311026002822
0.5,L2,2.0,0.08233218640089035,0.07022738456726074,0.047685456495266676,0.0008062890265136957,0.00937311026002822
0.5,L2,5.0,0.0823887512087822,0.07033675909042358,0.04776103365134927,0.0008062890265136957,0.00937311026002822
0.5,L2,10.0,0.0824851244688034,0.07052488625049591,0.04788131389028823,0.0008062890265136957,0.00937311026002822
1.0,L0,-1.0,0.050282642245292664,0.6448119878768921,0.4780319345354189,0.00262043927796185,0.06752670832493449
1.0,L0,0.0,0.050282642245292664,0.6448119878768921,0.4780319345354189,0.00262043927796185,0.06752670832493449
1.0,L0,0.01,0.05008033663034439,0.6448155045509338,0.47803310558352974,0.00262043927796185,0.06752670832493449
1.0,L0,0.1,0.050110071897506714,0.6448944211006165,0.4781069652545199,0.00262043927796185,0.06752670832493449
1.0,L0,0.5,0.05025241896510124,0.6455317139625549,0.4785729259363237,0.00262043927796185,0.06752670832493449
1.0,L0,1.0,0.05045494809746742,0.6462807059288025,0.47920333867984355,0.00262043927796185,0.06752670832493449
1.0,L0,2.0,0.050951823592185974,0.6474835276603699,0.4802431945111125,0.00262043927796185,0.06752670832493449
1.0,L0,5.0,0.05341710150241852,0.649966299533844,0.4821675235091036,0.00262043927796185,0.06752670832493449
1.0,L0,10.0,0.0637083426117897,0.6463673114776611,0.4793393649820831,0.00262043927796185,0.06752670832493449
1.0,L1,-1.0,0.08840695768594742,0.13391435146331787,0.09302201311156387,0.0018141502514481544,0.03043741181213465
1.0,L1,0.0,0.08840695768594742,0.13391435146331787,0.09302201311156387,0.0018141502514481544,0.03043741181213465
1.0,L1,0.01,0.08835369348526001,0.13391625881195068,0.0930240521291525,0.0018141502514481544,0.03043741181213465
1.0,L1,0.1,0.08835729211568832,0.13392187654972076,0.09302867528129492,0.0018141502514481544,0.03043741181213465
1.0,L1,0.5,0.08837328851222992,0.13394685089588165,0.09303791436645252,0.0018141502514481544,0.03043741181213465
1.0,L1,1.0,0.08839338272809982,0.13398024439811707,0.09306130413641182,0.0018141502514481544,0.03043741181213465
1.0,L1,2.0,0.08843379467725754,0.1340511590242386,0.09310597098904722,0.0018141502514481544,0.03043741181213465
1.0,L1,5.0,0.0885571613907814,0.13421981036663055,0.093234512491146,0.0018141502514481544,0.03043741181213465
1.0,L1,10.0,0.08876990526914597,0.13454151153564453,0.09343759745594432,0.0018141502514481544,0.03043741181213465
1.0,L2,-1.0,0.08291275054216385,0.07411500811576843,0.0517382088319724,0.0007055029273033142,0.009171537996371699
1.0,L2,0.0,0.08291275054216385,0.07411500811576843,0.0517382088319724,0.0007055029273033142,0.009171537996371699
1.0,L2,0.01,0.0828838050365448,0.07411562651395798,0.05174014207669779,0.0007055029273033142,0.009171537996371699
1.0,L2,0.1,0.08288583904504776,0.07411938160657883,0.05174209527627768,0.0007055029273033142,0.009171537996371699
1.0,L2,0.5,0.08289501816034317,0.07414113730192184,0.051755542103333024,0.0007055029273033142,0.009171537996371699
1.0,L2,1.0,0.08290652930736542,0.07416322082281113,0.05177088979146201,0.0007055029273033142,0.009171537996371699
1.0,L2,2.0,0.08292960375547409,0.07420771569013596,0.05180104038587368,0.0007055029273033142,0.009171537996371699
1.0,L2,5.0,0.08299965411424637,0.07434577494859695,0.051892843218032454,0.0007055029273033142,0.009171537996371699
1.0,L2,10.0,0.0831192284822464,0.07457618415355682,0.052043169495221774,0.0007055029273033142,0.009171537996371699
2.0,L0,-1.0,0.05157636106014252,0.644949197769165,0.4770634104165348,0.003628300502896309,0.0695424309614997
2.0,L0,0.0,0.05157636106014252,0.644949197769165,0.4770634104165348,0.003628300502896309,0.0695424309614997
2.0,L0,0.01,0.051380034536123276,0.6449586749076843,0.47707146907236964,0.003628300502896309,0.0695424309614997
2.0,L0,0.1,0.05140737444162369,0.6450085639953613,0.47710991124188773,0.003628300502896309,0.0695424309614997
2.0,L0,0.5,0.05153406783938408,0.6452595591545105,0.47732973775259324,0.003628300502896309,0.0695424309614997
2.0,L0,1.0,0.0517047755420208,0.6455498933792114,0.47769110716513286,0.003628300502896309,0.0695424309614997
2.0,L0,2.0,0.052090682089328766,0.6463515758514404,0.47837223480257285,0.003628300502896309,0.0695424309614997
2.0,L0,5.0,0.05368063598871231,0.6475828289985657,0.4794413713147651,0.003628300502896309,0.0695424309614997
2.0,L0,10.0,0.058532554656267166,0.6466790437698364,0.4788248703956159,0.003628300502896309,0.0695424309614997
2.0,L1,-1.0,0.08904517441987991,0.1271461844444275,0.08502381442408324,0.002217294881120324,0.028925619834710745
2.0,L1,0.0,0.08904517441987991,0.1271461844444275,0.08502381442408324,0.002217294881120324,0.028925619834710745
2.0,L1,0.01,0.08899460732936859,0.12714679539203644,0.08502579022905103,0.002217294881120324,0.028925619834710745
2.0,L1,0.1,0.08899790793657303,0.12714985013008118,0.0850271704822388,0.002217294881120324,0.028925619834710745
2.0,L1,0.5,0.0890127420425415,0.1271771639585495,0.08504215698763082,0.002217294881120324,0.028925619834710745
2.0,L1,1.0,0.08903131633996964,0.1272035390138626,0.08505752164934507,0.002217294881120324,0.028925619834710745
2.0,L1,2.0,0.08906872570514679,0.12723295390605927,0.08507530147382575,0.002217294881120324,0.028925619834710745
2.0,L1,5.0,0.08918243646621704,0.1273823231458664,0.08517665166050295,0.002217294881120324,0.028925619834710745
2.0,L1,10.0,0.08937758207321167,0.1276378631591797,0.08533855749837263,0.002217294881120324,0.028925619834710745
2.0,L2,-1.0,0.0789220780134201,0.07977461069822311,0.05432270363417085,0.0006047167698852718,0.007558959887119532
2.0,L2,0.0,0.0789220780134201,0.07977461069822311,0.05432270363417085,0.0006047167698852718,0.007558959887119532
2.0,L2,0.01,0.07889780402183533,0.07977499812841415,0.05432383380497394,0.0006047167698852718,0.007558959887119532
2.0,L2,0.1,0.0788993239402771,0.07978064566850662,0.05432807969189544,0.0006047167698852718,0.007558959887119532
2.0,L2,0.5,0.07890616357326508,0.07979922741651535,0.054339783855294206,0.0006047167698852718,0.007558959887119532
2.0,L2,1.0,0.07891470193862915,0.07982441037893295,0.054355756459690395,0.0006047167698852718,0.007558959887119532
2.0,L2,2.0,0.07893189042806625,0.07987210899591446,0.054387146878866886,0.0006047167698852718,0.007558959887119532
2.0,L2,5.0,0.07898388803005219,0.08001241087913513,0.054476550077732985,0.0006047167698852718,0.007558959887119532
2.0,L2,10.0,0.0790722444653511,0.08024697750806808,0.05463211814903442,0.0006047167698852718,0.007558959887119532
5.0,L0,-1.0,0.050616610795259476,0.60856693983078,0.44591096650360923,0.0023180809803307056,0.06349526305180407
5.0,L0,0.0,0.050616610795259476,0.60856693983078,0.44591096650360923,0.0023180809803307056,0.06349526305180407
5.0,L0,0.01,0.05044764280319214,0.6085759997367859,0.4459191099630788,0.0023180809803307056,0.06349526305180407
5.0,L0,0.1,0.050471533089876175,0.6086326837539673,0.4459975618343278,0.0023180809803307056,0.06349526305180407
5.0,L0,0.5,0.05058106780052185,0.6088775992393494,0.44617213412386936,0.0023180809803307056,0.06349526305180407
5.0,L0,1.0,0.050725843757390976,0.60915607213974,0.4464091741631062,0.0023180809803307056,0.06349526305180407
5.0,L0,2.0,0.0510430783033371,0.6097956895828247,0.44691707053608726,0.0023180809803307056,0.06349526305180407
5.0,L0,5.0,0.052251122891902924,0.6112887263298035,0.4480515441747121,0.0023180809803307056,0.06349526305180407
5.0,L0,10.0,0.05543042719364166,0.6118887066841125,0.4484247303320934,0.0023180809803307056,0.06349526305180407
5.0,L1,-1.0,0.07828398793935776,0.12956270575523376,0.08727617881017681,0.0018141502514481544,0.02539810522072163
5.0,L1,0.0,0.07828398793935776,0.12956270575523376,0.08727617881017681,0.0018141502514481544,0.02539810522072163
5.0,L1,0.01,0.07823378592729568,0.12956319749355316,0.08727667301241206,0.0018141502514481544,0.02539810522072163
5.0,L1,0.1,0.07823756337165833,0.1295679211616516,0.08728149749439583,0.0018141502514481544,0.02539810522072163
5.0,L1,0.5,0.07825447618961334,0.12959356606006622,0.0872997935774533,0.0018141502514481544,0.02539810522072163
5.0,L1,1.0,0.07827569544315338,0.12962958216667175,0.08733078163947589,0.0018141502514481544,0.02539810522072163
5.0,L1,2.0,0.07831837236881256,0.1296941190958023,0.08737028835632854,0.0018141502514481544,0.02539810522072163
5.0,L1,5.0,0.07844838500022888,0.12989044189453125,0.08749077870080614,0.0018141502514481544,0.02539810522072163
5.0,L1,10.0,0.0786721259355545,0.13022884726524353,0.08770407097014608,0.0018141502514481544,0.02539810522072163
5.0,L2,-1.0,0.07654643058776855,0.059449728578329086,0.037721893494322575,0.0005039306124672294,0.00705502922797823
5.0,L2,0.0,0.07654643058776855,0.059449728578329086,0.037721893494322575,0.0005039306124672294,0.00705502922797823
5.0,L2,0.01,0.07651890069246292,0.05945020914077759,0.037723218057857937,0.0005039306124672294,0.00705502922797823
5.0,L2,0.1,0.07652100175619125,0.0594521202147007,0.03772484903025904,0.0005039306124672294,0.00705502922797823
5.0,L2,0.5,0.076530322432518,0.05946189537644386,0.03773128638652167,0.0005039306124672294,0.00705502922797823
5.0,L2,1.0,0.07654201239347458,0.05947441980242729,0.037740877733471054,0.0005039306124672294,0.00705502922797823
5.0,L2,2.0,0.0765654593706131,0.059495992958545685,0.037755972416871716,0.0005039306124672294,0.00705502922797823
5.0,L2,5.0,0.07663659751415253,0.05956235155463219,0.0378001168326177,0.0005039306124672294,0.00705502922797823
5.0,L2,10.0,0.07675765454769135,0.05967545136809349,0.03787600775595675,0.0005039306124672294,0.00705502922797823
10.0,L0,-1.0,0.050496041774749756,0.6021351218223572,0.4395270483558211,0.0023180809803307056,0.07518645434388228
10.0,L0,0.0,0.050496041774749756,0.6021351218223572,0.4395270483558211,0.0023180809803307056,0.07518645434388228
10.0,L0,0.01,0.05036802217364311,0.6021419167518616,0.43953098084279874,0.0023180809803307056,0.07518645434388228
10.0,L0,0.1,0.05038418248295784,0.602184534072876,0.439565455514268,0.0023180809803307056,0.07518645434388228
10.0,L0,0.5,0.0504576712846756,0.6023733019828796,0.43969667498256526,0.0023180809803307056,0.07518645434388228
10.0,L0,1.0,0.050553370267152786,0.6026614308357239,0.4399534971928834,0.0023180809803307056,0.07518645434388228
10.0,L0,2.0,0.0507582351565361,0.6030693650245667,0.44028645668172256,0.0023180809803307056,0.07518645434388228
10.0,L0,5.0,0.05149095505475998,0.6043663024902344,0.44132592938829546,0.0023180809803307056,0.07518645434388228
10.0,L0,10.0,0.05319260060787201,0.6059750318527222,0.44277966336268576,0.0023180809803307056,0.07518645434388228
10.0,L1,-1.0,0.08272449672222137,0.14284099638462067,0.09832984893470736,0.00151179195381701,0.02348316871598468
